# Talk Dialog

旅行者: 关于「天使的馈赠」。
巴顿: 我记得是很早很早的时候…差不多晨曦酒庄刚刚建立的时候，酒庄老板投资开的。
巴顿: 现在「天使的馈赠」也依然在酒庄这一代的老板迪卢克老爷手上，并且生意越做越好…
巴顿: 说是蒙德第一应该当之无愧吧？
巴顿: 心情好的时候迪卢克老爷也会自己来做当班酒保，给老伙计查尔斯放个假。
巴顿: 你要是碰巧遇见他当班，可千万要客气点儿！毕竟他可是蒙德最有钱的大老板了…
旅行者: 关于蒙德的酒业。
巴顿: 蒙德的气候、水源和作物，对酿酒来说都是完美的条件…不得不说这就是风神的恩赐！
巴顿: 像什么苹果酒、樱桃酒，口味都非常不错，对了，尤其是蒲公英酒，那简直是人间美味！
巴顿: 通过出口到璃月的商会，蒙德的酒会销往整个大陆。
巴顿: 不论在哪儿都能卖个好价钱，甚至有「瓶装摩拉」的说法。
巴顿: 所以「晨曦酒庄」的老板才那么有钱吧…
旅行者: 关于你自己。
巴顿: 给你一个忠告…这店里再不起眼的酒瓶也不要随便乱动…
巴顿: 我打碎的那一瓶碰巧是前老板珍藏的特酿葡萄酒…看见北面那座别墅了吗？
巴顿: …我的意思是那瓶酒和那座别墅的价值差不多。
巴顿: 按这么算的话，我的打工赎身生涯差不多还剩下48年吧…当然，是不吃不喝不睡的前提下…
巴顿: 这么一看好像也不是彻底没有希望呢…
巴顿: 好了，先不和你聊了，我要向着自由努力工作了，哈哈哈哈…咳咳…呜…呜呜…
