# Talk Dialog

旅行者: 关于「海灯节」。
慧心: 你是第一次来参加海灯节吗？我可以当你的讲解员哦？
旅行者: 关于「明霄灯」。
慧心: 在久远之前，英雄与人们一起群策群力守护着璃月的土地。
慧心: 而如今的和平时代，为了让团结的精神永不磨灭，沿袭下了全城共建巨大浮灯「明霄灯」的习俗。
慧心: 人们搜集建材，贡献劳力，最后在海灯节闭幕的当天，在全城民众的见证下放飞，是海灯节最重要的「仪式」。
慧心: 看到「明霄灯」中间的那块巨岩了吗？它是璃月本年度出产的最大的「浮空石」。
慧心: 「明霄灯」的大小是由当年「浮空石」的大小决定的哦，而今年据说是二十年来最大的一块呢。
慧心: 为了纪念守护璃月而死的英雄们，「明霄灯」的造型会按照英雄生前的「仙体」来设计建造。
慧心: 顺便今年的「明霄灯」描绘的是「移霄导天真君」的英姿哦，是月海亭根据民众呼声决定的。
旅行者: 关于「霄市」。
慧心: 「霄市」简单来说就是，海灯节附属的娱乐活动吧。
慧心: 「明霄灯」的筹建资金很多也是源自于「霄市」上的摊位。
慧心: 所以说，作为商港的璃月港虽然有很多商贩平时看起来有些小气，但其实都是很好的人哦。
慧心: 趁着大家聚集于此，多和璃月的子民们聊聊天吧？
