# Talk Dialog

旅行者: 关于这场比赛…
贝尔福: 还有什么不清楚的地方，可以去宣传牌那边再看看！
贝尔福: 工作人员会在宣传牌上更新比赛的进程。听说计划中还有一些互动活动，等到赛事的热度达标了，活动就会开始。
贝尔福: 等到比赛有了一定的进展后，或许还会开始发售精彩赛事的「映影」呢。
旅行者: 怎么样才算热度达标…
派蒙: 听起来是个很苛刻的要求啊，比赛的场地明明不太显眼，真的没问题吗？
贝尔福: 没问题没问题，赛场旁边可是维卡拉商栈，须弥的贸易重地。距离港口的栈桥也不远，来来往往的人们都能看到。
贝尔福: 而且，我们还在须弥城的布置了宣传用的公告版，不少选手和观众都是看到广告后慕名而来的。
派蒙: 我们也看到了，原来那块牌子上的宣传广告是你写的！
贝尔福: 哈哈，还不错吧？在写宣传的文本这一点上，我也是很有自信的。
贝尔福: 比赛过程的报道也有我的份，我会尽力把你们的比赛过程描写得惊心动魄！
派蒙: 总感觉你一个人干了好多事呢，管理这些「花花琼脂」，给活动做规划，还要写宣传词和比赛报道…
贝尔福: 这算什么，要知道埃尔欣根先生开给我的薪水，可是我原来收入的十倍…呃咳！
贝尔福: 总之，埃尔欣根先生也说过，能者多劳，我愿意为这样的老板尽全力。
