# Talk Dialog

迪卢克: 几位，你们好。
派蒙: 我没看错吧，是迪卢克老爷！
丽莎: 啊呀，迪卢克，你这位大忙人怎么也来了？
旅行者: 好久不见！
迪卢克: 埃泽说骑士团创设了全新的商业项目，一切进行得异常顺利，推荐我来现场考察情况。
迪卢克: 看见这个项目的管理者是你们，我就完全不意外了。骑士团选中了最值得信赖的委托人。
派蒙: 我记得埃泽是…晨曦酒庄的管家？他好像不怎么出门，居然也听说了我们的店…
派蒙: 难道我们已经在全蒙德打响了名气？
迪卢克: 自信点。
迪卢克: 酒庄的事务相当繁杂，只有面对具有真正威胁的对手时，埃泽才会专门向我反馈。
迪卢克: 在如此之短的时间内建立起完善的生产和供应体系，拿下提瓦特各地的订单…
迪卢克: 换成别的酒商，已经称得上是晨曦酒庄的劲敌了。
派蒙: 威胁？劲敌？噫！
旅行者: 我们在抢迪卢克的生意吗！
丽莎: 哦？小可爱一副跃跃欲试的样子呢。
丽莎: 难道你非常期待吗——想和蒙德的第一酒商切磋切磋，看看谁的商业才华更出彩？
迪卢克: #和旅行者较量…是个不错的提议。
迪卢克: 你见多识广，如果真成为对手，必定会给我带来前所未有的商业挑战。
迪卢克: 不过，刚才我只是在用酒业内的情况打个比方，你们的炼金药剂并不会与任何酒品构成竞争关系。
迪卢克: 相反，要是你们的炼金药剂大卖，反倒对晨曦酒庄的生意有利。
派蒙: 我，我有点想不明白了！炼金药剂对酒庄的生意有利？这两者之间有什么联系吗？
丽莎: 呵呵，这就有些弯弯绕绕啦。
丽莎: 酒是许多人闲暇时的消费品，而闲暇的前提，自然是完成工作，赚足工钱嘛。
迪卢克: 嗯，丽莎提到了关键点。
迪卢克: 你们的炼金药剂能提升居民工作的效率，普及之后，人们就能更早完成任务，更充分地休息和消费。
派蒙: 这么一说，好像确实喔！忙得不停的人，怎么也没有心思喝酒享受生活吧…
派蒙: 原来还有这么一层逻辑…商业这种东西可真是深奥！
派蒙: 是不是等于，我们在和迪卢克老爷一起赚大钱了？迪卢克老爷也来试试我们的药剂吧！
旅行者: 请多关照，商业伙伴！
迪卢克: 嗯，我对炼金药剂的额外功效也有些兴趣。
迪卢克: 请你们调制一种能让过于紧张的使用者放松下来，同时又能提升他们对细节的注意力的药剂。
丽莎: 乍一听是两个互相矛盾的需求呢…
丽莎: 我有点好奇，就算小可爱真的按照你的要求完成了炼制，你又要怎么运用这种药剂？
迪卢克: 之前我们提到了忙碌不休的群体，他们也是酒类消费者中无比重要的成员。
迪卢克: 刚刚结束高强度工作的人很难在短时间内完全放松下来，或是太过劳累，在浑浑噩噩中度过一天余下来的时光。
迪卢克: 无论太过紧张，还是精神不振，都会错过他们本应享受的东西…比如，品尝不出菜肴和美酒中深层次的风味。
派蒙: 真，真的欸…我也想起来了。
派蒙: 有的时候，我们折腾了一整天，明明累得不行，却也感觉完全没法安心，吃饭都不香了…
丽莎: 看来小可爱在外边很辛苦呢，姐姐都有些心疼了…我再去准备一些茶点，等你们忙完了，一起好好放松吧。
派蒙: 所以说，迪卢克需要的是一种「平衡」的药剂，来防止客人们品不出酒的美味，享受不了生活，没错吧？
迪卢克: 是的。草草喝完本应细品的酒，对消费者和酿酒师们而言都是一种损失。
迪卢克: 如果能让心神疲惫之人适当集中，让过分紧张之人适当放松，找到一个折中点，这种情况无疑会好转。
旅行者: 这个就叫专业！
派蒙: …是个超级特别的需求呢，不管换成哪个炼金术士，都会头疼一阵子吧。
派蒙: #旅行者，我们认真分析一下，要怎么搭配炼金药剂的原材料吧！
旅行者: 我完全理解了！
旅行者: 随便提要求吧，贵客！
旅行者: 我们要和迪卢克打商战了！
旅行者: 贵客贵客！
