# Talk Dialog

艾玛托: 听凭风引！追随火花！荣誉骑士大人，还有白色小帮手，调查小队武器官艾玛托向您报到！我有什么能为您做的？
旅行者: 追随火花？
派蒙: 这个火花，难道说的是…我理解的「火花骑士」吗？
艾玛托: 没错！这正是我个人的信条！
艾玛托: 要说这西风骑士团的众多高手里，谁的战力最强，还得是我们可敬又可爱的火花骑士！
艾玛托: 以轻松活泼的身姿，踏遍蒙德的每寸土地；以小巧灵活的身形，背负足以摧毁整支军团的强大火力。
艾玛托: 在火花骑士悦耳的笑声，和「此世不应有的至烈炸药」的狂猛轰鸣中，不管多少敌军来袭，都要灰飞烟灭！
旅行者: 可，可莉原来这么厉害吗？
派蒙: 对…对啊…你说的那个「不应有的炸药」，又是怎么回事？
艾玛托: 哎，您们两位可算问对人了！我也算是个专业技能还不错的炼金术士…
艾玛托: 虽然我不如砂糖老师和蒂玛乌斯老师那么博学，更是远远望不到阿贝多队长的背影，但我术业有专攻，设计过许多工程用炸药！
艾玛托: 然而，它们的爆速根本没法和蹦蹦炸弹的装药相提并论，只能达成爆燃，而非破坏力充裕的爆震…
旅行者: 听不懂了！
派蒙: 对啊，什么爆爆爆的，完全听不懂了！
艾玛托: 呃！对不起，我太忘我了，科普不到位，是我的不对！
艾玛托: 总之，一般炸药的基本参数和火花骑士的杰作差了两个世代，甚至两个半！成本上也不在一个量级。
艾玛托: 问到火花骑士大人，她究竟在蹦蹦炸弹的装药里加入了什么秘方时候，火花骑士只是这么回答——
艾玛托: 「蹦蹦炸弹的配方是妈妈教会可莉的，秘方的话，一定是妈妈对可莉的喜欢吧！」
艾玛托: 这也可以理解！毕竟强大的炸药配方，是足以影响一国军事平衡的重要机密，我这种小人物没资格知道啊，没资格啊！
艾玛托: 所以我只能一直追随着火花骑士的脚步，加倍努力研究炸药的配方。
艾玛托: 争取有朝一日能制作出…蹦蹦炸弹二十分之一威力和性价比的成品来！
艾玛托: 光是想想就让我浑身颤抖…完美的爆速，猛烈的震波，简洁的工艺，宜人的成本…
艾玛托: 嘿嘿嘿，蹦蹦炸弹，嘿嘿嘿…
旅行者: 你冷静点！
派蒙: 从，从来没见过这种人！以后就叫她…炸弹怪人了！
派蒙: #{NICKNAME}，我们先走吧！
派蒙: 有机会的话，一定要提醒一下阿贝多…注意一下他队伍里的炸弹怪人，多多关照她的精神状态！
