# Talk Dialog

旅行者: （听听评书）
茶博士刘苏: 有道是——
茶博士刘苏: 近人逸情犹可述，往事千载却难留。百年争战圣人归，神仙故事传未休。
茶博士刘苏: 惊堂木一拍，承蒙诸位关照，今天咱讲一讲那岩王帝君。
茶博士刘苏: 这故事还要从两千年前说起，您要问那是什么年代？那可不是咱们现在这般的太平年代…
茶博士刘苏: …那时候，璃月大地千百魔神争战，又有妖物横行，民人百姓苦不堪言…
茶博士刘苏: 于是，岩王帝君便率领众仙，拯救万民于水火之急，倒悬之危…
旅行者: （继续听）
茶博士刘苏: 要说那岩王帝君，乃是众仙之祖。他身边有七大护法夜叉，个个是神通广大，勇力超凡！
茶博士刘苏: …话说当年，岩王帝君大战那为虐四洋的海魔。
茶博士刘苏: 那海魔身形庞大，单是脑袋就有咱们的天衡山那么宽…您看看，光脑袋就这么大，身子又要多么硕大无朋！
茶博士刘苏: 只见那海魔张着血盆大口便向璃月港扑将过来，势若将这璃月港城与其中万千老百姓一口吞下！
旅行者: 哎呀…
茶博士刘苏: …可是各位您们想想，岩王帝君毕竟是神啊，他何曾怕过这个！
茶博士刘苏: 于是，一声喝令众仙，一手集聚磐岩，说话间楼阁大的巨岩雨点般地砸下来，打得那海魔头破血流！
茶博士刘苏: 诸位啊，那巨岩落入海中，仿佛长枪一般就这么钉在了海底，也便成了我们今日所见的孤云阁。
茶博士刘苏: 再看那众仙与夜叉，见这情景也是个个争先，兵器仙法一时齐下，令那海魔不胜烦扰，遍体鳞伤…
茶博士刘苏: 海魔这就动了坏心眼了，「这岩王爷真个是气煞我也！不如我去毁了他的城，看他是和我作对，还是保他的人民！」
旅行者: 哎哟…
茶博士刘苏: …海魔这么一寻思，便卷动江海，向着璃月港拍起了惊涛巨浪！
茶博士刘苏: 众仙心觉不妙，攻势也就迟滞了一拍。可回头一看，岩王帝君那是安之若素，面色不变！
茶博士刘苏: 您要问这岩王帝君为何如此镇定？
茶博士刘苏: 诸位，且听我下回分解。
旅行者: （不听了）
茶博士刘苏: …可是各位您们想想，岩王帝君毕竟是神啊，他何曾怕过这个！
