# Talk Dialog

久吕由命: 呃啊…真是奇怪，现在我也向人类提供快乐，为什么你我仍然要互相敌对？
梦见月瑞希: 你提供的根本不是真正的快乐，你只是让他们忘记了所有负面情绪的存在，活在虚妄的幻想中。
梦见月瑞希: 而那些被压抑在潜意识里的负面情绪继续发酵，最终演变成更强大的噩梦供你寄生。
梦见月瑞希: 你们一族总是会无限放大宿主的负面情绪来为自己谋取力量，现在你做的事在本质上也并没有什么不同。
久吕由命: 不，我所行之事可以改写魇之一族的命运！
久吕由命: 完全被负面情绪主导的人，就连生存下去的能力也不再拥有，我的同族因此走向衰亡。
久吕由命: 但是如果给他们提供虚妄的幻想，即便潜意识里的负面情绪再严重，他们也能生存下去，成为一个完美的宿主。
久吕由命: 这就是我为我们魇之一族的复兴所寻找的道路！
梦见月瑞希: …你明白的吧？那只是另一个可悲的极端。
久吕由命: 不需要解释，我完全理解你们一族在长久的时光中总结出来的经验，因为潜伏在这里的我一直在旁观你们的辛苦劳作。
久吕由命: 但是很遗憾，我并不想背负那些被你们强行赋予自身的责任，宿主的人格是否健全我根本不关心。
久吕由命: 不如思考一个很有趣的问题，让他们自己选，他们会选你，还是选我？
梦见月瑞希: ……
久吕由命: 你终于明白了吧？早在进入梦境之前，我们就已经分出胜负了！
派蒙: 呜哇！怎么回事？
梦见月瑞希: 它的力量竟然还能增强，但美梦的力量已经耗尽了…
旅行者: 有更多美梦就可以了吧？
梦见月瑞希: 可是，现在就算能找到更多的美梦恐怕也…唔！
久吕由命: 既然你知道人类的负面情绪永远都会存在，那么就该明白这其中也包含懒惰和麻木。
久吕由命: 没有你们食梦貘利用梦境进行调和，真的有人愿意接受自己的负面情绪？
久吕由命: 他们还是更喜欢逃避现实，忘记烦恼，活在虚妄的幻想里！
梦见月瑞希: 可是，我之所以要成为心理诊疗师…
旅行者: 瑞希！
梦见月瑞希: #旅行者…
梦见月瑞希: 这些味道…原来是这样吗？
梦见月瑞希: 分别带来的思念…好苦涩的味道，但这次分别也带来了一段旅途，继续往前走的话，或许就能邂逅一段珍贵的回忆？
梦见月瑞希: 落败带来的绝望…好冰冷的口感，但正是一次次地战胜了这种绝望，才获得了直面雷霆的勇气吧？
梦见月瑞希: 错过带来的遗憾…好酸楚的回味，但好像正是因为这些错过，才越发意识到自己拥有的一切有多宝贵呢。
梦见月瑞希: 最终是…甘甜，热烈，清新，所以初次见面我品尝到的才是美梦啊。
梦见月瑞希: 早在遇到我之前，你就已经拥有了不逃避和不忘记的勇气，你曾经拥有过的噩梦，也早已成为了美梦的底色。
梦见月瑞希: 这样的你将漫长的旅途回忆淬炼后获得的力量，肯定远比那虚妄的梦魇更加强大。
梦见月瑞希: 我之所以要成为心理诊疗师，就是希望能帮助其他人成为你这样的人。
