# Talk Dialog

梦见月瑞希: 呼…总算结束了。幸亏提前做了准备，喊了其他食梦貘来帮忙，要不然今晚又要消化不良了。
旅行者: 我的美梦有帮上忙吧？
梦见月瑞希: 嗯…至少很好吃。
梦见月瑞希: #旅行者，要不要思考一个有趣的问题，你觉得人类的噩梦多还是美梦多?
旅行者: 美梦？
梦见月瑞希: 如果真的是这样就好了…
梦见月瑞希: 其实绝大部分人都不擅长应对自己的负面情绪，这些情绪被藏在心里，最终都会变成噩梦的根源。
梦见月瑞希: 因此人类的噩梦远多于美梦，绝大多数人的美梦都太短暂，太稀少了，根本没有与他人分享的余裕。
梦见月瑞希: 甚至还有些人，要我们食梦貘帮忙消化噩梦之后才有机会做美梦呢。
梦见月瑞希: 所以，我们能品尝到的通常都是噩梦。无论我们怎么努力，似乎都无法改变这种现状。
梦见月瑞希: 我一度认为食梦貘就是吞食噩梦的工具，我们都被困在了一场没有尽头的苦役当中。
梦见月瑞希: 是的，作为心理诊疗师，也不免有些阴暗的想法，这可能是我唯一的心理问题。
梦见月瑞希: 不过，学习了心理诊疗知识后，我设想过另一种可能。
梦见月瑞希: 通过心理诊疗的手段，帮助人们正确地拥抱自己的喜怒哀乐，让他们能自行消化噩梦，不再需要借助食梦貘的力量。
梦见月瑞希: 这样的话，做美梦的人会越来越多，多到可以把美梦分享出去。
旅行者: 真是个美好的愿望。
梦见月瑞希: 应该说真是个天真的愿望，即便进行了那么多次心理诊疗，也没能将这样的设想实现一次。
梦见月瑞希: #所以我才要感谢你，旅行者，遇到你之后，我才确信这个设想是肯定能实现的。
梦见月瑞希: 对于我的那个心理问题来说，这样的「治疗」已经足够了。
派蒙: 我找了好久，原来你们在这里啊。
旅行者: 派蒙…
派蒙: 刚刚我看食梦貘们吃噩梦，一个个肚皮打滚，特别好玩儿…所以有些入迷了，没跟上。
派蒙: 对了，今天本来想再预约一次服务的，一直没有找到机会呢。
梦见月瑞希: 时间不早了，麻烦等明天吧。
派蒙: 哦…
梦见月瑞希: #但夜色还早，要不再看一会儿月亮吧，旅行者？
派蒙: 欸？
旅行者: 噩梦？
梦见月瑞希: 你果然也能察觉到吧？
