# Talk Dialog

派蒙: 「咚咚小圆帽」、「欢腾之火」，我们来陪你们玩啦！
派蒙: #{NICKNAME}，我们陪蕈兽伙伴们做些什么好呢？
旅行者: 投喂蕈兽伙伴？
派蒙: 好！之前太开心了，还没注意到「妙妙琼脂」还有很多味道，这次我们留意一下两只蕈兽伙伴都喜欢什么口味吧！
旅行者: 投喂落落莓味的「妙妙琼脂」。
咚咚小圆帽: ♪~
火一: ？
派蒙: 喔！原来「咚咚小圆帽」喜欢落落莓的口感！
派蒙: 以后也许可以用落落莓榨好多好多果汁，直接给「咚咚小圆帽」泡澡？
派蒙: 倒是「欢腾之火」这边…它不喜欢甜食吗？好像也挺符合它帅气的作风呢！
旅行者: 投喂薄荷味的「妙妙琼脂」。
咚咚小圆帽: ♪~
火一: ？
派蒙: 好欸！看来「咚咚小圆帽」喜欢薄荷的味道！
派蒙: 如果种一片薄荷田，「咚咚小圆帽」会不会在里面玩得很开心？
派蒙: 可是，冰冰凉凉的风味，好像不怎么能让「欢腾之火」满意？
旅行者: 投喂蟹黄味的「妙妙琼脂」。
派蒙: 哇啊，怎么还有这种口味？海妮耶的想法还真奇特呢…
咚咚小圆帽: ♪~
火一: ♫~
派蒙: 咦？原来「咚咚小圆帽」连蟹黄的味道也喜欢！
派蒙: 「欢腾之火」也开心起来了，看来蟹黄味就是两位蕈兽伙伴的最爱！
派蒙: 虽然蟹黄制作起来有点麻烦，但为了两位蕈兽伙伴，也不算什么吧？我们以后多囤一些！
派蒙: 等到知道了「妙妙琼脂」的制作方法，我们就可以亲手给它们做一顿大餐了！
旅行者: 向蕈兽伙伴比手势？
派蒙: 哦？好像确实有人能用简单的手势让动物朋友领略自己的意思呢。
派蒙: 我觉得可以试试，以我们和蕈兽伙伴的默契，肯定没问题的！
旅行者: 向蕈兽伙伴们竖拇指。
派蒙: 好，我也竖拇指，夸夸乖乖的「咚咚小圆帽」和帅帅的「欢腾之火」。
咚咚小圆帽: ♪~
火一: ♫~
派蒙: 嘿嘿，两位蕈兽伙伴都很开心，那以后我要多多给它们鼓励！
旅行者: 竖起食指转圈圈。
派蒙: 是要让蕈兽伙伴们转圈的意思吗？会不会有点复杂？
咚咚小圆帽: ♪~
火一: ♫~
派蒙: 蕈兽伙伴们居然真的开始打转了，好聪明！
派蒙: 它们这样，好像在跳舞…如果我也会跳舞，说不定能让「咚咚小圆帽」当我的舞伴！
旅行者: 右手指向派蒙，左手摸头。
咚咚小圆帽: ♪~
派蒙: 呜啊，「咚咚小圆帽」好像真的要凑过来，让我摸它的头了！
派蒙: 不过「欢腾之火」的意思是…
火一: ♫~
派蒙: 哇啊！「欢腾之火」好像要跳到我的脑袋上，快停下！
旅行者: 用不同的声音打招呼？
派蒙: 你的意思是，模仿其他动物，看看蕈兽伙伴们会有什么反应吗？
派蒙: 嗯，我也很想知道，可以试试看！
旅行者: 吼吼！
派蒙: 这是什么声音啦，难道你在模仿驮兽吗？我都没有听出来…
咚咚小圆帽: ♪~
火一: ♫~
派蒙: 咦，蕈兽伙伴们好像要凑过来了？
派蒙: 难道它们也会有觉得冷的时候，还知道贴着驮兽取暖吗？
旅行者: 喵喵~
派蒙: 好耶，是猫猫，那我也来喵喵！
咚咚小圆帽: ？
火一: ？
派蒙: 蕈兽伙伴们怎么一副好奇的样子？是不是没有见过猫，不熟悉？
派蒙: 那以后，可以试着找几只小猫，和蕈兽伙伴们交朋友！
派蒙: 说起来，能在雨林里生活的猫，是不是该叫「森林猫」？
派蒙: 那和蕈兽伙伴们交了朋友的猫，就是「蘑菇猫」！
旅行者: Ya！
派蒙: 喂喂，这个不是动物啦！而且说不定会让蕈兽伙伴们变得紧张！
咚咚小圆帽: ！
火一: ！
派蒙: 果然，「咚咚小圆帽」和「欢腾之火」警惕起来了！
派蒙: #不要怕，不要怕，附近没有丘丘人哦，{NICKNAME}在和你们开玩笑啦。
派蒙: 这样说来，就算我们睡着了，蕈兽伙伴们也可以帮我们放风，真可靠！
旅行者: 待会儿再来和蕈兽伙伴们玩。
派蒙: 唔，还有别的事要做吗？那我们动作快一点哦，早点回来陪「咚咚小圆帽」和「欢腾之火」玩！
