# Talk Dialog

派蒙: 咦，「炫彩呆子」？你在这附近考察涂鸦的地点吗？
「炫彩呆子」: 啊呀，你们刚好也来这边了。看来你们确实挺有天赋的，能准确选中最有潜力的景致…
派蒙: 嘿嘿，那可不是嘛！我们要么找不到灵感，要么就灵感如泉涌！
旅行者: 你要在这里工作吗？
派蒙: 对喔，我还没看过一幅涂鸦完整画出来的流程呢，要不然，你现在就给我们演示一下？
「炫彩呆子」: 别心急，别心急。这附近并没有特别合适的山壁，前卫的涂鸦当然也需要前卫的画板！
「炫彩呆子」: 我只是刚好路过这片区域，想起以前和一位朋友在这边野餐的经历，再过来看看。
「炫彩呆子」: 要不是那位朋友的鼓励，我可能还是个一声不吭，只顾着闷头涂鸦的普通画手，根本领略不到最前卫的艺术理念。
「炫彩呆子」: 更不会认识你们了。
派蒙: 嗯？听起来是…给了你重要人生建议的挚友！
旅行者: 就像一起旅行的派蒙和我？
「炫彩呆子」: 你们好像大部分时间都待在一起？那倒没有你们感情这么好啦…
「炫彩呆子」: 好几年前，我在圣火竞技场的颜料店学习调色，遇见了那位朋友，她的衣服有着独特的配色，瞬间就吸引了我。
「炫彩呆子」: 别人都说，我思考颜料和色彩时，就像丢了魂一样，动不动就没了反应，不怎么带我玩。
「炫彩呆子」: 但她不这么觉得，她认为我的「呆」，正代表我坚持自己的目标，什么都不在乎，就像正在修行的部族战士。
「炫彩呆子」: 虽说不是特别煽情的鼓励，但她确实给了我澎湃的动力。以至于，这些年我没怎么和她打交道，也一直记得她的话。
「炫彩呆子」: 她没有涂鸦的天分，这不要紧，后来她成为了厉害的部族战士。我想，总有一天，「回声之子」会以她为傲…
派蒙: 原来还有这种事…不经常一起玩的朋友，也能相互鼓舞！
旅行者: 希望你们都能进步。
「炫彩呆子」: 这你就放一万个心吧！
「炫彩呆子」: 惊险和意外只是一时的，她肯定能克服难关，我相信她！
「炫彩呆子」: 我也不能闲着，涂鸦技法的提升空间是无限的，融入最近我对「前卫艺术」的理解后，我肯定能迅猛进步！
「炫彩呆子」: 等她凯旋，我要争取为她创作一幅巨大的涂鸦！
旅行者: 祝你们顺利地向上冲击。
旅行者: 你的朋友也跟你一起涂鸦？
旅行者: 展示一下涂鸦的手艺？
