# Talk Dialog

派蒙: 咦，这不是卡齐娜吗？
卡齐娜: #旅行者和派蒙？没想到你们会出现在这一带！
卡齐娜: 以你们的本领，应该是接了什么厉害的委托？和那边的「游隙灵道」有关？
旅行者: 我们这次的委托确实很厉害。
派蒙: 说起来，给我们委托的人也属于「回声之子」，说不定你们还认识？
黑屏文本: 向卡齐娜描述了结识「炫彩呆子」的过程，她对涂鸦的看法，以及邀请你们学习前卫艺术理念一事…
卡齐娜: 原来是「炫彩呆子」，我们应该也能算得上是朋友吧，嘿嘿…
卡齐娜: 她看着和我一样不起眼，但一聊起色彩就能滔滔不绝说上半天…或许你们可以多跟着她玩玩，应该能见识到…不一样的纳塔？
派蒙: 卡齐娜也是被「炫彩呆子」邀请涂鸦，才和她成为朋友的吗？
卡齐娜: 涂鸦是一个原因，应该说我们比较有缘？
卡齐娜: 很久之前，我和爸爸妈妈一起去圣火竞技场买水果，看见她一个人坐在颜料店门口，认真地看着爱雅姐姐调色。
卡齐娜: 她一坐就是大半天，纹丝不动，好像能从不同的颜色里看到特别厉害的东西。
卡齐娜: 当时，她特别专注，好像除了颜料其他什么都不在乎。我还以为她不会注意到我的~
卡齐娜: 没想到路过她身边的时候，她被我衣服的配色吸引，和我热情地聊起了喜欢的颜色，完全变了个人…
派蒙: 卡齐娜的衣服确实很独特，「炫彩呆子」还挺有眼光的嘛！
旅行者: 平衡了活力、淳朴和纯真。
派蒙: 对对对，我怎么就想不到这种用词…既有活力，又纯真得刚刚好！
派蒙: 不过，听你这么一说，以前的「炫彩呆子」好像和现在有点不一样，没那么擅长…和人打交道？
卡齐娜: 她可能和我一样不太擅长吸引人注意吧，大家要么忙着练习战斗，要么钻研跳舞…
卡齐娜: 相比之下，一直专注于画画的话，确实有点难交到朋友…
卡齐娜: 但我觉得有自己的目标，并为之付出努力的人非常了不起！
卡齐娜: 她认真研究颜色和涂鸦的时候，我总觉得…她会坚持自己的目标，并且坚定地走下去，这和传说故事中的英雄有点像哦。
卡齐娜: 说不定，在别人看来越不起眼，说明她越认真，以后就会变得越厉害？
派蒙: 好像…是这么个道理？
旅行者: 细节不重要。
卡齐娜: 认识「炫彩呆子」以后，她邀请我一起去涂鸦。我喜欢那些漂亮的图案，但好像没什么天分，想不出有意思的画面。
卡齐娜: 「炫彩呆子」说不要紧，涂鸦还会记录著名的部族战士，我画不出厉害的涂鸦，但是可以成为涂鸦上描绘的有名人。
卡齐娜: 「到时候，就由成为了纳塔著名涂鸦高手的我，来帮你这个著名的战士画涂鸦…」
卡齐娜: 她这么说着的时候，好像整个人都变得炫彩夺目了起来。
卡齐娜: 在她涂鸦的时候，我有时候会在旁边当她的观众，努力给她出主意，比如…和她聊我骑着「冲天转转」在山崖上看到的风景。
卡齐娜: 虽然总共也没和「炫彩呆子」一起出去玩几次，但看到她那么努力的样子，我觉得我也应该加油才行。
卡齐娜: 听说她好像被什么人鼓舞，慢慢变得健谈了，前几年还加入了一个…大涂鸦帮会。
派蒙: 没错，「炫彩呆子」好像已经是涂鸦联盟里的重要人物了，而你已经成为了纳塔的英雄！
旅行者: 你们两位都在向上冲击。
卡齐娜: …谢谢…呃、唔，不要这么盯着我看呀，我不是想哭，只是感慨得有点说不出话来。
卡齐娜: 原来「炫彩呆子」也没有松懈，一直在自己的领域努力…她这一路走来一定也很不容易吧…
卡齐娜: 现在的我，应该也勉强能算得上是合格的战士了吧…不过著名可能还算不上…
卡齐娜: 下次遇见她的时候，我想好好再和她聊聊。
派蒙: 对喔，我们四个都要加油！
卡齐娜: 嗯嗯，那当然！我要继续努力向前才行，等你们忙完了「炫彩呆子」这边的工作，要是不忙…请让我继续跟着你们学习吧！
旅行者: 你们当时的豪言一定会成真。
旅行者: 卡齐娜说得对！
旅行者: 有种好吃的感觉。
派蒙: 虽然确实有点像…咖啡柠檬蛋糕加薄荷，但用这种比喻，总觉得聊着聊着就饿了。
旅行者: 有点抽象，但也挺有意思。
