# Talk Dialog

北斗: 哟，你们好啊。
优菈: #{NICKNAME}，好久不见。
派蒙: 哇，是北斗和优菈…原来你们两个认识吗？
旅行者: 是少见的组合呢。
北斗: 哈哈，所谓相逢即是缘，一回生两回熟嘛。
优菈: 我和这位北斗船长是在荆夫港认识的。她到蒙德城采购物资，我就陪她四处走走。
派蒙: 哇，优菈居然会主动交朋友…我没听错吧？
优菈: 咳，我和北斗船长刚认识，还算不上朋友吧。只是，身为骑士理应热情好客…
北斗: 嗯？我们一路上聊得不是挺投缘的嘛，原来只是出于礼貌吗？
优菈: 啊，我不是这个意思。只是…之前多有冒犯，我想你应该不会想跟我成为朋友吧…
北斗: 你还在意那点小误会呀，哎呀，我根本没放在心上。
派蒙: 误会？你们在说什么呀？
北斗: 哦，是这样的。前几天，我的船队在荆夫港暂时停泊，我就带着船员们去酒馆放松放松。
北斗: 结果酒馆里有人酒后吵架，眼看着要动手，我就过去劝架了。
北斗: 可那两人不听我的劝，硬要打起来，我就用了些方法…让他们冷静下来。
北斗: 这时候优菈正好在巡逻，她进来的时候看到这个混乱的场面…
优菈: 咳，接下来由我来说明吧。
优菈: 前阵子，荆夫港的码头陆续截获了一些走私货物，于是我们最近加强了巡查。
优菈: 那天我看到一群生面孔，又是船员，担心有这方面的风险，就要求北斗船长出示进港许可。
优菈: 她当时没带在身上，让我自己去找港务人员核实，而我坚持要她随我同去，因此发生了一些不快。
北斗: 哎呀，你也是职责所在嘛。我那会多喝了几杯，语气也有点冲…后来她陪我回到船上，确认了文件，误会也就解开了。
北斗: 我有些过意不去，就说等回到酒馆请她喝一杯。
北斗: 结果坐下来就发现，能聊的话题越来越多，一直聊到酒馆都要结束营业了才离开。
优菈: 北斗船长说第二天要再去蒙德城转转，我正好也要回骑士团提交文书，就结伴同行了。
北斗: 刚刚我就想说了，既然你我以朋友相称，何必如此客气？喊我北斗就行。
优菈: 嗯，是我见外了…回到骑士团，我就听说了你们在这里开店的事情，于是就和北斗商量，顺路过来打个招呼了。
北斗: 是啊，我也想看看蒙德的炼金药剂有什么不同。
旅行者: 百闻不如一见…
北斗: 嗯，但我身体一向挺好的，海上要用的药物也买齐了。
北斗: 让我想想…有没有能安神助眠的药剂啊？
优菈: 北斗平时睡得不好吗？
北斗: 没有，我睡得可好了，躺下就睡，一觉睡到天亮！
北斗: 只是我有一位朋友，平时吃好喝好，但就是睡得不好。不知道是富贵病，还是天天想事情想的。
派蒙: 你说的朋友该不会是…
北斗: 是啊，反正奇珍异宝她也见惯了，如果能彻底放松，睡个好觉，对她来说可能更加稀罕吧。
派蒙: 好，订单要求已经记下了！
北斗: 那就拜托你们了！
旅行者: 不如买回去尝试一下。
