# Talk Dialog

派蒙: 唔…
梦见月瑞希 (？？？): #嗨，是不是有种「如梦方醒」的感觉？真没想到那位旅行者会出现在我的梦里。
旅行者: 你认识我？
梦见月瑞希 (？？？): 有人经常向我提起你，嗯…我根据传闻做的人物侧写还算准确。
派蒙: 那你是…
梦见月瑞希 (？？？): #说起来这是我和旅行者的第一次见面呢，那么正式自我介绍一下。
梦见月瑞希: 我是梦见月瑞希，叫我瑞希就好。我来自食梦貘一族，也是稻妻的妖怪之一哦。
派蒙: 食梦貘？
小食梦貘: 啾啾！
派蒙: 是之前的那个小家伙…
梦见月瑞希: 这就是我们一族原本的样子，两位刚刚应该就是被它吸引才误入了我的梦境吧？
梦见月瑞希: 食梦貘拥有吞食人类噩梦的能力，而噩梦需要我们在自己的梦境里进行消化，你们刚刚看到的就是我消化噩梦的场景。
梦见月瑞希: 我一口气吃了太多噩梦，它们堵在一起，让我有些消化不良…幸好它带你们闯了进来。
梦见月瑞希: 也算是歪打正着，帮了我一个大忙，现在我可以好好消化这些噩梦了。
派蒙: 我们就是发现你有些难受才凑过去的，虽然不知道具体发生了什么，但能帮到你就好。
派蒙: 我最讨厌噩梦了，能吞食噩梦的妖怪，确实要好好帮助一下呢！
梦见月瑞希: 不过，非常抱歉…
旅行者: 怎么了？
梦见月瑞希: 你在梦境里凑过来的时候，我从你身上分离出来的不是噩梦，而是美梦…
梦见月瑞希: 之前吃了那么多噩梦，我的动作都变得机械了，没留意就一口咬了下去…
派蒙: 原来食梦貘也可以吃美梦啊…话说回来，这是很过分的事吗？
梦见月瑞希: 当然了，美梦对于人类来说十分珍贵，怎么能像噩梦那样随意吞食呢？
梦见月瑞希: 我们食梦貘一族有个不成文的规定，未经允许绝对不能吞食他人的美梦，我真是太不小心了…
旅行者: 不必这么自责。
梦见月瑞希: 难道你没有觉得十分低落，又或者忽然想起很多伤心往事？
旅行者: 没有啊。
梦见月瑞希: 自己的美梦被吞食一部分后还能维持如此稳定的心理状态，真是难得一见的案例…
派蒙: #嗯…肯定是旅行者的美梦太多了，被吃掉一点也没关系嘛！
梦见月瑞希: 但我还是应该向你提供补偿…这样吧，请收下这个。
派蒙: 秋沙钱汤贵宾邀请函…
派蒙: 本店有多位心理诊疗师坐镇，并附带温泉和美食服务。带着烦恼前来，带着快乐离开…
梦见月瑞希: 邀请函上标注了地址，我就在那里工作。
梦见月瑞希: 使用这张邀请函，你们可以在那里免费享受最高级别的服务…啊，说起来我也得赶快回去，店里的事务不能搁置太久。
梦见月瑞希: 那么，期待你们的正式光临哦！
派蒙: 这么说，那位食梦貘姐姐还是一位心理诊疗师？
旅行者: 不意外。
派蒙: 心理诊疗服务…除了思考下一顿该吃什么，很少有能让我发愁的事情。
派蒙: 对了，那个什么汤好像也提供美食服务，有这张卡的话就可以去那里免费吃大餐吧？我们可不能浪费这次机会哦！
旅行者: 有意思。
旅行者: 我感觉还好。
