# Talk Dialog

幸德: 啊，是队长！剑鱼二番队，全体行礼！
旅行者: 好久没见了。
五郎: 是啊，一开始我想请他们出动的时候，还有些不情愿。但一听说是你出任代表，就来得比剑鱼还快了。
幸德: …说实在的，海祇岛内还是有一些人，并不在乎鸣神岛的祭典和安危。
嘉久: …但如果事关剑鱼二番队队长，我想大家都会愿意来的。
旅行者: 说得我都有点不好意思了…
珊瑚宫心海: #请坦然接受他们的好意吧，旅行者。
珊瑚宫心海: 即使是现人神巫女，也无法只凭一句空洞的口号，就让海祇岛与鸣神岛完全放下过往。
珊瑚宫心海: 这需要漫长的时间，频繁的交流…以及最重要的，具体的「人」。
珊瑚宫心海: 由你代表的祭典，由瑞希开启的合作…都会成为海祇岛人，迈向外界的桥梁。
梦见月瑞希: 原来你还有这层心思…虽然年纪差了不少，但论成熟，已经不输另一位「巫女」了。
派蒙: 啊，瑞希！呃…你睡得还好吗？
梦见月瑞希: 没问题哦，精神在超过极限之后，有时候反而会爆发出强大的潜力…就像我开导过的那些病患。
旅行者: 我明白你的意思了…
梦见月瑞希: 不过还好，仪式最后也赶上了。这下不管是「三川花祭」，还是我们的「游艺」，都能顺利落地了。
梦见月瑞希: #旅行者，「噩梦残片」现身后，我们就会启动仪式，但生效需要一段时间。
梦见月瑞希: 那时能拖住它的，就只有你和将军大人了…你还记得，昨晚去秋沙钱汤之前，我说过的话吗？
梦见月瑞希: 不管是人类、妖怪，还是神明，都有着情感丰富的心灵，自然有可能患上同样的心病。
梦见月瑞希: 有些生灵看着坚强，其实只是习惯了与自己的心病共存…但那远远谈不上「无恙」。
旅行者: 我还记得。
梦见月瑞希: 嗯，我相信有你在的话，将军她…就不必再独自承受了。
旅行者: 回头好好睡一觉吧。
