# Talk Dialog

拜希麦·五世: 嗯哼哼~怎么样？你们玩过「哐哐当当雀雀球」了吗？团雀最可爱，我没说错吧！
旅行者: 来玩一局「雀雀球」！
拜希麦·五世: 嘿呀，看来这可可爱爱的团雀游戏正中你的心窝了！请随意游玩，玩到你心满意足！
旅行者: 团雀一直很可爱！
派蒙: 嗯！我也想起来了，好像以前在什么地方玩到过这种桌上游戏！
派蒙: 因为玩过这个桌上游戏，我还在现实中观察过一段时间的团雀呢，然后从团雀身上发现了很多…容易被疏忽的小特点。
派蒙: #拜希麦…五世小姐？说不定继续玩这个游戏，我和旅行者也能重温以前旅行时的记忆！
拜希麦·五世: 以前玩过吗？那说明你们和我的家族很有缘！
拜希麦·五世: 「哐哐当当雀雀球」是我们家从太外祖母那里继承下来的传统游戏，之前一直被当成招待贵客的家庭仪式。
拜希麦·五世: 除了招待贵客，太外祖母似乎只和学术对手，以及她最认可的朋友们一起游玩过雀雀球，并送过她们几份样品…
拜希麦·五世: 太外祖母说过，「要是大家都被团雀的可爱充盈了心灵，躁动不安的情绪就会减少，世界上的争吵就会少一点…」
拜希麦·五世: 为了太外祖母的和平愿景，也为了让可爱的团雀给大家带去笑容，我要继续改进这个游戏，好好推广它！
旅行者: 具体要怎么做呢？
拜希麦·五世: 我已经想好了！如你所见，我正在枫丹人流量最大的港口打响「哐哐当当雀雀球」的名气！
拜希麦·五世: 团雀的可爱名声会随着巡轨船和货船四处流传，等到时机成熟，我就会大量免费派送游戏，让大家随时都能玩到雀雀球！
拜希麦·五世: 看来我们的想法非常一致，你们两位要不也加入「团雀和平大使」的队伍？
拜希麦·五世: 要是方便的话，请带上几份游戏的本体，或者是宣传画，在之后的旅行过程中向其他人推荐「哐哐当当雀雀球」…
派蒙: 这样一来，就能向更多人喊出那句话了——
拜希麦·五世: 「团雀最可爱！」
旅行者: 好耶！可爱就是和平！
派蒙: 现在我觉得这句话完全不夸张了，这段时间的旅行以来，接触到的养宠物的人都很有耐心，和他们讲道理也非常顺利！
派蒙: 所以拜希麦五世小姐和你的…太外祖母，说得非常有道理！
旅行者: 为什么你叫「五世」来着？
派蒙: 对哦，听起来像是很厉害的大贵族后裔…须弥有这样的家族吗？
拜希麦·五世: 哈哈哈，没有那么夸张啦！我的这个名字只是一个称号。
拜希麦·五世: 一切都起源于我的太外祖母，她刚正不阿，得罪了很多学术对手，被恶意派遣到沙漠中去调查不存在的生物，直接失踪了…
拜希麦·五世: 结果在所有人都以为她死掉的十几年后，她突然带着调查报告和「哐哐当当雀雀球」回来了。
拜希麦·五世: 她不仅完成了当年的任务，还性情大变，像是参悟了什么道理。
拜希麦·五世: 遇见和她争论的同行，她再也不会生气，而是邀请对方一起来玩雀雀球，边玩边讨论。
拜希麦·五世: 在和谐的讨论氛围中，大部分问题都迎刃而解，甚至许多和太外祖母针锋相对的人都变成了她的好朋友兼雀雀球爱好者…
派蒙: 雀雀球居然真的有这种功效吗！
旅行者: 超出预期的发展…
拜希麦·五世: 很神奇吧！所以我才坚信太外祖母的说法，可爱的团雀能让世界和平！
拜希麦·五世: 出于对太外祖母的尊敬，她的朋友为我的家族成员们起了便于辨认的称号，我是那之后的第五代当家，所以就是五世了！
拜希麦·五世: 据说一些太外祖母本人的朋友非常长寿，取走雀雀球研究时，还说，希望能看到拜希麦十世，甚至二十世的活跃…
拜希麦·五世: 最后让「坐下来玩一局雀雀球」成为全提瓦特流行的一种习俗，解决万千争端！
派蒙: 这么看来，拜希麦五世小姐的理想还真不是空话呢，我们也可以来帮忙！
旅行者: 多玩雀雀球少吵架。
拜希麦·五世: 说得很精髓，我用力鼓掌！
拜希麦·五世: 你这简洁有力的话蕴含着最珍贵的道理，我就把它写在雀雀球包装的背面吧。
拜希麦·五世: 总之，我们一起努力吧，让更多人开开心心前进，把烦人的争吵变成和谐的讨论！
旅行者: 多讲讲道理少生气。
旅行者: 下次再来聊可爱！
拜希麦·五世: 好哦！看在我们如此合拍的份上，记得多多回来找我，多多赏玩雀雀球哦！
