# Talk Dialog

安柏: #嘿！{NICKNAME}和派蒙！你们管理的「猫茸茸城堡」真不错，没想到你们还有这方面的才能！
旅行者: 安柏玩得开心就好！
派蒙: 没错没错，瓦乐瑞娜还可以帮忙从猎鹿人订外送的饭菜，等到安柏放假了，就可以一直在这里玩哦！
派蒙: 说起来，安柏最近的任务完成了吗？之前向「兔叽」问天气的原因…是因为等一下要出去飞行巡逻？
安柏: 放心放心，今天我不用出去巡逻，问「兔叽」天气，也只是普通聊天而已。
安柏: 今天我来这里，一是因为我自己好奇，二是因为我要帮朋友一个忙…
安柏: 我有个很擅长手工艺品的朋友，以前就会为猫猫狗狗做各种宠物玩具。猫尾酒馆的一些陈设，就是她制作的。
安柏: 听说「猫茸茸城堡」的事后，她主动联系了瓦乐瑞娜小姐，提供了一批家具和玩具，就是你看到的这些陈设…
安柏: 没想到，瓦乐瑞娜小姐还不忍心接受捐赠，硬塞了她一笔工钱。
安柏: 现在「猫茸茸城堡」试营业好几天了，我的朋友想了解一下，这里的猫猫喜不喜欢她做的玩具，但自己又没时间，也不怎么懂猫…
安柏: 所以就由我来代她考察啦，考察的结果是一百分！
派蒙: 给猫猫做玩具的人都没法和猫猫好好沟通，那安柏又是怎么做到的呢？
旅行者: 是天分吗？
安柏: #我也不知道哦…可能{NICKNAME}说的原因都有，还有一层，是侦察骑士的职责？
安柏: 侦察骑士和游击骑士那种一半探明敌情，一半先行打击的职位不同，通常要尽可能保持隐蔽，最大程度利用一切渠道获取信息。
安柏: 有的时候，叽叽喳喳的鸟儿，蹦蹦跳跳的松鼠和哼哼呜呜的林猪，都会为我提供魔物的情报。
安柏: 运气好的时候，在我经常巡逻的区域，有些动物看我眼熟，还会主动来和我报信。
安柏: 不管叽叽喳喳，蹦蹦跳跳还是哼哼呜呜，大概意思都是「可怕呀，那边有坏家伙！」
安柏: 相比这些敏感的动物，野外的猫猫已经非常好沟通了，更不必说「猫茸茸城堡」里的大家，都是超级乖孩子！
派蒙: 没，没想到侦察骑士还要掌握这样的技能…换我的话，我听一段时间，说不定就晕头转向了！
安柏: 哎呀，这个不是什么必备技能啦，只是我个人意外积累的经验。对于侦察骑士而言，最重要的当然还是使用风之翼的技能了。
安柏: #话说回来，{NICKNAME}，你离开蒙德这么久，风之翼的操纵手法不会已经生疏了吧？
旅行者: 你要亲自检验一下吗，安柏教官？
安柏: 很有气势嘛，不错！
安柏: 那下次见面的时候，我可要好好考验考验你啦！
安柏: 如果你的飞行表现比之前更棒了，我就下厨做蜜酱胡萝卜煎肉给你们吃！
派蒙: 好耶！安柏做的蜜酱胡萝卜煎肉！
派蒙: #{NICKNAME}，你可不能夸下海口哦，最近还要找机会再好好练练！
旅行者: 我的飞行技艺每分每秒都在精进！
旅行者: 是和兔兔伯爵练习的？
旅行者: 安柏最喜欢什么样的猫猫？
安柏: 我？我也不知道呀…
安柏: 猫猫各有各的可爱，在我心里分不出高下…
派蒙: 说得也是哦，毛色，体型，花纹，眼睛，耳朵…好多好多特征，组合多得数不过来，让我选，我也找不到一个能打最高分的…
安柏: 不过说起来，好像没有见过红色的猫猫呢…
旅行者: 红色的猫猫？
派蒙: 如果真有红色的猫猫，一听就很有热情！但不开心的话，也会把家里掀个天翻地覆吧…
安柏: 提瓦特这么大，什么神奇的事情都有。
安柏: 你们想啊——既然有各种元素和颜色的史莱姆，说不定在我们不知道的地方，确实存在各种夸张颜色的猫猫呢…
安柏: 嗯，都说，大团长见多识广，说不定大团长在旅行途中就见过！
安柏: 等大团长回来了，我们找个机会一起和他聊天，问问他吧！
旅行者: 火元素猫猫！
旅行者: 谢谢夸奖，我们继续加油啦！
安柏: 好呀，不过也要注意休息，别太累着自己和派蒙哦！
