# Talk Dialog

旅行者: 在这里还习惯吗？
玛薇卡: 当然，这里就像是度假胜地一样，让我想起「流泉之众」那边的氛围。
玛薇卡: 在成为火神之前，我经常去那边泡温泉，不仅能放松精神，还能交到各个部族，甚至是别国的朋友。
玛薇卡: 只不过在正式成为纳塔的领袖之后，就没有太多这样的闲暇时光了。
旅行者: 可以试着逐渐找回过去的感觉。
玛薇卡: 哈哈哈，我同样很享受繁忙的时光，我想想应该怎么解释我的感受…
玛薇卡: 你应该会邀请各种各样的朋友到这里做客，他们的想法应该和我相似，都会对这个空间留下非常好的印象。
玛薇卡: 这个印象不只来源于此地的环境，还要归功于你的设计与布置，每一处的人情味与小巧思。
玛薇卡: 但作为管理人的你，为了留下这种印象，背后付出了相当多的努力。
玛薇卡: 比如收集材料，制作物品，规划设计…我想这同样是相当繁忙的一段时光。
旅行者: 相当充实。
玛薇卡: 嗯，对我而言，为了纳塔而繁忙也是相似的感受。
玛薇卡: 有些人是因为身份和责任感，「不得不」去完成某些事，但我不同，我追求的是源于我内心深处的理想。
玛薇卡: 「火神」这个身份，只是让我能更加方便与直接地去做事而已。
旅行者: 我能理解。
玛薇卡: 呵呵，我想也是，毕竟无论面临什么样的挑战与抉择，你心中的标尺都没有动摇过。
玛薇卡: 这是成为「领袖」不可或缺的品质之一。
旅行者: 有点难懂…
玛薇卡: 没关系，这完全是我个人的想法，只是想要分享一下。
玛薇卡: 从结果来看，现在你对这个世界的理解和规划，就是最适合你的，要相信自己。
