# Talk Dialog

旅行者: 大英雄倒也有点夸张…
派蒙: #对哦，{NICKNAME}和我已经习惯了啦！
派蒙: 虽然被他们埋伏了一手，不过也算是有惊无险！
派蒙: 不过说起来，埃尔欣根已经被抓起来了，你和其他工作人员要怎么办呢…
贝尔福: 唉，主办方的团队都被解散了，所有人都接受了调查。好在我们大部分人都是单纯的拿钱干活，没有被埃尔欣根蛊惑去做坏事…
贝尔福: 在你们冲破险境的时候，我已经被到场的「三十人团」优先审问过了。收拾完这边的烂摊子后，我还要再去「聚砂厅」协助调查…
贝尔福: 我居然也被埃尔欣根那家伙骗得团团转，还天真地以为他是个大好人…真不甘心！
旅行者: 他已经伏法啦。
贝尔福: 不过，就算幕后主使心怀不轨，这场比赛原本也有着非凡的意义！可不能被少数几个坏人给绑架，白白浪费了大好的发展潜力！
贝尔福: 如果以后你们还想组织「驯兽师大赛」，随时可以吩咐我，我还会献出全力办好这场比赛！
贝尔福: 要是你们太忙，而且不介意的话，也可以把所有事务安排给我，我来继续操办！
派蒙: 好耶！你真的很负责，贝尔福先生！
派蒙: 希望「意智宝珠」的改进顺顺利利，不要让大家的期望落空！
旅行者: 你也不用自责。
