# Talk Dialog

毗伽尔: 尊贵的花之骑士，有什么需要我们支援的吗？
萨费伊: 每一幕打戏只需要遵循基本主题就行，动作都由专业的您自由发挥，不用在意我们原本的设计。
旅行者: 那我多拍拍。
萨费伊: 哈哈，请尽情施展您的战斗才华，隐藏在场地各处的留影机会将您的飒爽身姿全都记录下来！
萨费伊: 我们的场地造型参考了冒险家传说中的危险秘境，说不定还能为您带来一些战斗的灵感呢！
旅行者: 我以前是不是见过毗伽尔？
毗伽尔: 您还记得我，真是我的荣幸。
毗伽尔: 以往的花神诞祭上，我扮演过几次没有花车的花之骑士，主要负责给孩子们发糖。
毗伽尔: 这次有比我更合适的花之骑士扮演者，我就本色出演一次「糖之骑士」好了。
萨费伊: 也挺好的，我看孩子们都很喜欢这个称号，你多年来不懈发糖的形象已经深入人心了。
毗伽尔: 那等到这部映影上映，我还能拿到…「映影骑士」之类的新称号吗？
萨费伊: 导演的名字写你，制作人的名字写我，咱俩谁当「映影骑士」还不好说呢。
旅行者: 关于映影的进度…
毗伽尔: 如您所见，这才刚刚开始。
毗伽尔: 由于「战斗」是这部映影的主题，我们决定先拍摄打戏，在能够实现的基础上确定关键的镜头语言、光影、调色等风格…
毗伽尔: 然后再用这些确定了的事项，去确定文戏的拍摄细节，这样就能尽可能避免…「做不到」或「拍不出来」的问题了。
萨费伊: 所以拍摄文戏要等到打戏的后期处理完毕，估计是很久以后的事了。
旅行者: 真机灵！
萨费伊: 哪里哪里，都是之前在枫丹考察时学到的小技巧，我们需要努力的事情还很多！
旅行者: 真保险！
旅行者: 下次再来！
毗伽尔: 您慢走！麻烦您记得安排一些空闲时间，来把几个打戏桥段拍完…我们感激不尽！
