# Talk Dialog

海妮耶: 差不多该出发了，左右加。饭后再休息一会儿，我们就开始收拾营地。
海妮耶: 待会儿又要长途跋涉了，如果蕈兽伙伴们走不动，就还是老样子——
海妮耶: 你背「转转悠悠兽」和「百雷遮罗」，我背「咚咚小圆帽」和「欢腾之火」，帐篷和行李交给驮兽。
左右加: 好的，那我准备一下就生火做饭，这顿饭可得多吃点！
派蒙: 海妮耶和左右加小姐在营地里碰头了！她们在聊什么呢？
旅行者: 我们听听看？
派蒙: 好，我实在有点好奇，海妮耶和左右加小姐应该不会介意吧…
左右加: 听说「灵蕈棋阵」的测试结果还不错啊？
左右加: 昨天，那几位商人来和我确认订货单了，连他们都试玩了「灵蕈棋阵」，赞不绝口。
海妮耶: 的确，贝尔福先生在策划活动这方面很有头脑，值得我们学习。
海妮耶: 这次还有「黄金流星」和「白银伴星」助阵，一切非常顺利，我深受鼓舞。
左右加: 真不愧是「智巧勇武双连星」，他们一出现，一般人应付不了的问题就会迎刃而解！
左右加: 一般人能对付的问题，也会在他们的帮助下快快消失…
派蒙: 嘿嘿，我们被夸啦！
旅行者: 嘘，派蒙…
海妮耶: 说起来，我们订购的东西还齐全吧？
左右加: 放心，我们也算是他们的老客户了。
左右加: 扩大营地的建材、蕈兽伙伴们的新床垫和小餐桌、还有玩耍用的爬架…一件都不差。
左右加: 努查赫老师寄放在商人们那里的「妙妙琼脂」原料，也都新鲜得像是刚出炉！
左右加: 这次奥摩斯港的旅途真是满载而归！
海妮耶: 那我就放心了。
海妮耶: 回到营地后，要麻烦你再教我一些字词和语法了，我要把那本「大型活动筹备要点五百问」好好读完。
左右加: 没问题的，之前教你的东西绝对足够了，你学得那么刻苦，肯定能轻轻松松读懂大部分书。
左右加: 不过，你还要研究商业的门道吗？明明都交给贝尔福先生就好。
海妮耶: 第一届比赛开办的时候，除了贝尔福先生，还有几十人的幕后团队在忙碌，下次比赛还不知道能召回多少人。
海妮耶: 不能只让贝尔福先生忙碌，当然也不能让「黄金流星」和「白银伴星」在下次大赛中为琐事操劳。
海妮耶: 所以，我必须尽快变成一个多面手，在做好驯兽师的本职工作之余，尽可能顾及大赛各方面的事务。
海妮耶: #这样才能回应{M#他们}{F#她们}的期待…
左右加: 有道理…那我也要帮忙！
左右加: 虽然还不知道我能做什么，但决心要先拿出来！
海妮耶: 你先练练体能吧，等到你能在野外独自生存，才有余力谈之后的事，不然，我还要分心照顾你。
左右加: 是…我会努力的，争取不给你添麻烦！
左右加: 至少这段时间以来，我进步很大，对不对？上次我还打退了闯进营地的大大大蕈猪！
海妮耶: 一说打斗，我就想起来了，你这身衣服，要不也换换？
海妮耶: 衣摆太长了，在雨林里不方便，看起来也很贵重，弄坏了有点可惜。
海妮耶: 我有几套「镀金旅团」的备用服，还有当时在用的武器，不介意的话，都给你了。
左右加: 佣兵的装束？我，我很好奇！作为小说角色的插曲经历，简直太棒了！
派蒙: 嗯，她们俩的关系好像变得很不错了！真是件好事呢！
旅行者: 如果没人打断她们的话…
派蒙: 我们就别打扰她们了，让她们专心讨论接下来的事吧！
旅行者: 感觉她们可以一直聊下去…
旅行者: 嘿嘿…
旅行者: 还是打个招呼吧？
派蒙: 好，听起来，她们很快就要离开了，趁这个机会，再和她们聊两句吧。
派蒙: 喂~海妮耶，左右加！
左右加: 哇！突然出现了，不愧是「随叫随到冒险王」！
派蒙: 又是第一次听说的称号…
派蒙: 左右加小姐到底知道多少个我们的绰号啊？改天要拿个小记事本，全都记下来。
海妮耶: 之前我还说过，我们不用多久就会见面，没想到这么快就应验了。
海妮耶: 说不定下次也会像这样，在不经意间相遇。
海妮耶: 抱着这样的想法，暂时和蕈兽伙伴们分别，也不用太难过。
旅行者: 有道理。
派蒙: 多亏海妮耶，我心态变得越来越好啦！
海妮耶: 正好，我们打算吃顿饭后，启程返回营地，你们不赶时间的话，要不要和我们一起？
海妮耶: 左右加的厨艺特别强，常常做出我从没听过的美食，错过了就可惜了。
海妮耶: 根据她的提议，努查赫小姐还为最新版的「妙妙琼脂」加入了各种风味物质，蕈兽伙伴们都很喜欢。
派蒙: 真，真的吗？
左右加: 没，没那么夸张啦，我只不过照着一些轻小说里的桥段，试着做过一些料理，没什么章法…
左右加: 现在你们两位也来了，我更要拿出百分之千的认真，施展毕生所学，好好做一顿大餐！
派蒙: 好耶，大餐！
派蒙: 左右加小姐的「无拘束绮想作家大餐」！
海妮耶: 那我去把蕈兽伙伴们叫过来，摆好它们喜欢的「妙妙琼脂」，一起吃顿饭。
海妮耶: 嗯？这样的事情…我好像已经习以为常了？
海妮耶: …真好啊。
派蒙: 你在念叨什么呢，海妮耶？
海妮耶: 没什么…你们还可以看看左右加下厨的过程，简直就像是变戏法。
左右加: 那我就准备开工啦，请看好哦！
黑屏文本: 左右加从书堆里找出了好几本标题极长的轻小说，对照营地里已有的食材，决定了大餐的菜谱。
黑屏文本: 随后，她取出厨具，开始了华丽而迅捷的烹饪。不消多时，就完成了几道丰盛的菜肴。
黑屏文本: 大家在营地里席地而坐，与蕈兽伙伴们肩并肩，一起享用美味的饭菜。
黑屏文本: 耳畔水声潺潺，来自雨林的芬芳与盛宴佳肴的馥郁香气交旋…
黑屏文本: 时间似乎放慢了脚步，快乐的时光分外悠长…
派蒙: 呼…好饱好饱，好满足！
派蒙: 「咚咚小圆帽」、「欢腾之火」、「转转悠悠兽」和「百雷遮罗」，你们感觉怎么样？
咚咚小圆帽: ♪~
火一: ♫~
转转悠悠兽: ♩~
百雷遮罗: ♬~
派蒙: 太好了，大家都吃饱喝足，心满意足！
旅行者: 我怎么没听懂！
派蒙: 哼！那你等到下次比赛，多和「咚咚小圆帽」说说话啦！
派蒙: 话说回来，没想到枣椰还有好几十种做法…
派蒙: 日落果和墩墩桃煮熟后，搭配香辛料是这种味道！
派蒙: 左右加小姐待在须弥的时间明明不长，怎么好像很快就了解了本地食材的特点！
左右加: 这是作者的本职工作嘛，写作之前，要把书里提到的地区好好调查一番，尽可能背下当地的百科全书。
左右加: 再加一点轻小说里常见的思维，看见两个陌生事物就搭配一下试试，就能得到意外的惊喜啦。
左右加: 说到这里，我突然想起…有本轻小说提到过，将厨艺修炼到极致，甚至可以跨越绝对的喜好和固有的习惯…
左右加: 比如让不能吃辣的人爱上吃辣，让狗狗也喜欢上猫猫的饭…
左右加: 作者给出的理由是「只要搞清楚决定喜恶的味觉成分，对这些成分进行精准的把控，食物之间将没有界线」。
左右加: 这个道理，或许也适用于蕈兽伙伴？
左右加: 要是厨艺达到极致，说不定蕈兽伙伴也不用局限于汲取「妙妙琼脂」里的养分了呢。
派蒙: 真的吗？听起来好像…有点道理？
派蒙: #{NICKNAME}，以后再去稻妻的时候，我们留意一下，看看能不能找到这样的轻小说吧？
派蒙: 要是有合适的机会，我们也要来一番特别的厨艺修行，为蕈兽伙伴们打开美食新世界的大门！
旅行者: 交给我了！
左右加: 太好了太好了，我先在书里面给你们追加上「全领域自适应特级厨师」的设定…说不定你们就成功了呢！
海妮耶: 如果是你们两位的话，就算无法用常理解释的事，说不定也能做到大功告成，证明给所有人看呢。
海妮耶: 我很期待，今后我们就一起努力吧！
派蒙: 好！我现在动力满满，我们就要出发了！
派蒙: 下次见面的时候，我们还要像现在这样聚餐！
旅行者: 不管有多难，先试试！
旅行者: 难道派蒙能和蕈兽们对话了！
旅行者: 让她们先忙吧。
派蒙: 说得也对，大家都有自己的安排，打乱了她们的节奏就不好啦…
派蒙: 希望下次见面的那天快快到来！
