# Talk Dialog

风速枣椰: 怎么只给一次机会，太不公平了！
旅行者: 什么机会？
风速枣椰: 比赛啊！为什么我只是输了第一场，就不让我继续参赛了！
风速枣椰: 我还想好好表现呢！大家还等着和我带回家的蕈兽一起玩呢！
派蒙: 原来你不知道吗…预赛都没通过的话，就没有机会了哦。
派蒙: 感觉你好像只凭一股热情就参加比赛了，完全没有好好读过比赛规则呢…
旅行者: 为你们感到遗憾。
派蒙: 不管怎么样，你已经尽力了啦，现在后悔也没什么用，还不如和蕈兽们开开心心地放松一下呢。
派蒙: 你不是还有一些小弟吗？你可以和让小弟们和你的蕈兽也交朋友，一起去野餐，去探险…
派蒙: 唔，探险还是算了，对你们来说不太安全。
风速枣椰: 对，对哦！还没来得及让小弟们认识一下我的蕈兽！
风速枣椰: 有两个胆大包天的小弟，居然还模仿参赛选手，偷偷去找什么「传说中最乖巧最听话的蕈兽」…还好没出什么事！
风速枣椰: 明明和我的蕈兽一起玩就行了啊！
旅行者: 这事怎么有点耳熟…
派蒙: 嘿嘿，这样才对嘛，你就不要有心理负担啦！
旅行者: 小弟们不会责怪你的。
风速枣椰: 可是…我明明是大姐头，是唯一拿到比赛资格的人，是全帮的希望啊！
风速枣椰: 大家以前都要绕着蕈兽走，明明觉得很多蕈兽很可爱，但却不敢接近它们，都指望着我训练几只蕈兽，作为我们的镇帮之宝…
风速枣椰: 结果我失败了，完全没希望了…
派蒙: 那你不是更应该抓紧时间，让小弟们和你的蕈兽多玩一会儿了吗？
派蒙: 虽然只有八强选手能把蕈兽一直留在身边，可现在比赛还没结束嘛，不会马上把你的宝珠和伙伴们收走的！
派蒙: 既然这一次输掉了，就吸取教训，下次比赛再兑现承诺嘛！
风速枣椰: 等等，你好像说得没错喔！
风速枣椰: 没想到你这个白色飞蘑菇还挺机灵！谢…
旅行者: 不用谢。
派蒙: 不用谢哦！
风速枣椰: 呃…果然还是说不出口！
风速枣椰: 你们两个，我就先放过你们一次！你们一定要拿到冠军啊！
风速枣椰: 这样一来，等到下次比赛，我一打败你们，就会成为最亮眼的选手！
派蒙: 这是什么话，又好笑又好气…
派蒙: 算了，我们大人有大量，就先答应你好了！下次一定要变强，然后和我们再较量一番哦！
旅行者: 再见…
风速枣椰: 唉，垂头丧气也不是个事，还是要打起精神去面对小弟们啊…再见吧！
