# Talk Dialog

风速枣椰: 怎么回事，到底怎么回事！凭什么一下子就把我的所有蕈兽都打败了！这下我要怎么和小弟们交差啊…
旅行者: 你还好吗？
风速枣椰: 啊？你们两个来干什么？想要嘲笑我吗！
风速枣椰: 不要太得意了！等到下次比赛，我还会赢回来的！
派蒙: 咦？还有下次比赛吗？预赛不是只有一次机会吗？
旅行者: 也许她想说下一届比赛。
派蒙: 嗯，这也是好事，不要因为一次失败太受挫折！
派蒙: 总之，枣椰怪怪人，下次较量的时候，希望你变得更强！
风速枣椰: 那还用说吗！到时候就是我来安慰你们了！
风速枣椰: 如果你们的态度不错，我也可以考虑给你们几颗秘制枣椰蜜糖安慰一下你们哦。
旅行者: 她还抱有很强的斗志。
旅行者: 哈哈，是我们赢啦！
派蒙: 对哦，是我们「黄金流星」和「白银伴星」赢啦！
风速枣椰: 呃…蕈兽们的招式能够互相反应，我只不过是没有考虑到这一点。
风速枣椰: 贸然冲上去的确有危险，以后我会注意的！
风速枣椰: 不管怎么样，我还会和伙伴们调整策略的，下次绝不输给你们！
派蒙: 咦，这话说得好像之后还会再见面一样…
旅行者: 比赛也不会只办一届吧。
派蒙: 确实呢，希望下一届比赛，她还这么有热情吧！
旅行者: 别太沮丧了…
风速枣椰: 我！我才不沮丧！走着瞧吧，我还会赢回来的！
