# Talk Dialog

铁骨双刀: 怎么是你们两个？哼！
旅行者: 我们怎么了？
铁骨双刀: 没什么，你们迟早会明白的。
派蒙: 这个人怎么跑到训练的场地来了？听他的口气，难道他也是参赛选手吗？
旅行者: 派蒙不要怕。
派蒙: 好像也对哦，那么多凶巴巴的家伙都被我们打败了，这个人也没什么特别的。
派蒙: 而且我相信「咚咚小圆帽」和蕈兽伙伴们！脾气这么坏的人，肯定也和蕈兽们搞不好关系！
铁骨双刀: 你们的声音没压住，我都听见了。
派蒙: 噫！
铁骨双刀: 我不想和你们浪费口舌，所有事情都会在赛场上见分晓。
旅行者: 对付他还不是轻轻松松。
旅行者: 哼！
铁骨双刀: 你！你倒还挺嚣张啊？
派蒙: 呜哇，你不要和他对着干啦！
旅行者: 他凶凶，我气气。
派蒙: 可是，万一惹恼了他，打起来了该怎么办…
派蒙: 唔，不对哦！要是打起来了，要提心吊胆的应该是他！那…到时候你可得注意下手的力道啊！
派蒙: #总之，这位佣兵，为了你的安全着想，还是不要和{NICKNAME}争起来比较好哦。
铁骨双刀: 我可是要成为知名驯兽师的人！使用个人武力进行赛场外的斗争，对我而言完全没有意义。
铁骨双刀: 别浪费时间和我斗嘴了，该干什么就干什么去吧！
旅行者: 告辞！
铁骨双刀: 快走吧你！
