# Talk Dialog

夏洛蒂: 怪了，怎么哪里都打听不到…
旅行者: 这封祝柬送…
夏洛蒂: #哎呀？旅行者，哼哼…璃月港的大英雄，你来得正好！
夏洛蒂: 来来，我正好有几件事问你，你悄悄地告诉我，我绝对不说出去…
旅行者: 我，我是来送你「祝柬」的！
夏洛蒂: 这张漂亮「祝柬」我就收下了，谢啦，我们来谈正事。
夏洛蒂: #旅行者，你知道那位「天权星」大人主持的「祭仪」么？
夏洛蒂: 我四处打听，都说是一种璃月港传统的祭祀仪式…可我还打听到，这种仪式已经很久没办过了。
夏洛蒂: 而且，在「祭仪」开始的时候，我注意到璃月港旁边的山上，有许多飞鸟被惊飞了，在密林里，还能隐约看见奇怪的光芒…
旅行者: 你怎么看到的？
夏洛蒂: 喏，都靠我的留影机。我前段时间刚买的超长焦镜头，现在就派上用场了。
夏洛蒂: 可惜画面太暗，拍出来的画片模糊不清，根本什么都看不到…
夏洛蒂: #旅行者，你知道些什么？能告诉我些什么？不用现在就说，想起什么来了，就给我寄一封信…
夏洛蒂: 先拿着这些。哼哼，就当做是…定金。
夏洛蒂: 等你到了枫丹，我再请你吃一顿大餐，怎么样？
旅行者: 你跑过去看的？
旅行者: 你，你别这么笑！
旅行者: 再见。
夏洛蒂: 回头见啦。唔，还是得去再打听一下…
