# Talk Dialog

安东: 我们很快就会撤离，如果阻碍了你的冒险，那么实属抱歉。
旅行者: 关于与千岩军的合作…
安东: 很久以前的事情了，这里刚刚封闭，我们就找上了璃月的七星。
安东: 开始大家谈得还可以…「女士」大人还顺势谈成了几笔有利于双方的贸易协定。
安东: 而愚人众先遣部队进驻层岩巨渊，原本是附加条件之一…我们来到这里为的是调查和消灭异变源头。
安东: 我们调查所得的一切情报，则是由至冬国和璃月公平共享。
旅行者: 你们没有别的目的了吗？
安东: 至少就我们所知，没有。我们出发时还受到了市民们的祝福，大家都认为…我们是牺牲自己保护别人的英雄部队。
安东: 唉…谁知道，现在事情变成了这样。
旅行者: 关于「黑灾」…
安东: 或者「漆黑灾祸」，或者随便怎么称呼…五百年前的那场大灾难。
安东: 总之…是我们至冬人永恒的敌人，我们相信的是…五百年来，灾祸一直在潜伏着，而我们会永远保持警惕。
旅行者: 关于你们自己…
安东: 我们自己？有什么好说的…我们在努力奋战了，但失败了，就这么简单。
安东: 下来的时候我们是第九连队，六十四人。可到现在呢？包括连长在内…牺牲或失踪的可能超过一半以上，也可能不到…
安东: 但大体差不多…我们已经输了，早就该撤离了…
旅行者: 你们在地面的同僚攻击了璃月港。
安东: …很惊讶，但完全理解。
安东: 为了协助更有意义的冒险，「公鸡」大人自然会抛弃相对低价值的资产，这是他的理性。
安东: 我们作为他的直属部下，对此完全可以接受…
