# Talk Dialog

行秋: #旅行者，你来得正好，我正想着去寻你呢。
旅行者: 这封祝柬送你。
行秋: 哎呀，多谢你的祝柬，这上面的字…唉，可比我的好看多了。
行秋: 每次海灯节的时候，商会里都要给生意伙伴送礼，礼物里还要附上一封祝柬。
行秋: 为表敬意，太爷爷会亲自手写部分祝柬，他那一手瘦金小字可好看了。
行秋: 那些生意人看了之后，都说这一封祝柬，胜过所有礼物，恨不得裱起来挂在墙上。
行秋: 所谓「一字千金」，也不外如是啦。
旅行者: 老太公身体如何？好些了么？
行秋: 托你的福，太爷爷已经有劲头训斥我的字太丑，写祝柬写出一箩筐「鬼画符」了。
行秋: 他还说要我以你这少年英雄为榜样，多多学习，天天向上…
行秋: 要不是我大哥过来接了话头，让我有空溜出去，我非要被他唠叨得耳朵起茧子不可。
旅行者: 行秋早已是少年英雄了。
行秋: 哈哈哈，好了好了，我们两人之间，就别这么互相客气了，太过老气。
行秋: 过几天，等家里的事情忙得差不多了之后，我写好祝柬拿去送你，到时候我们一起去找香菱，小小吃一顿，就当庆功了。
旅行者: 我们互相学习。
旅行者: 再见。
行秋: 回头见，山路难行，记得慢走。
