# Talk Dialog

漱玉: #旅行者哥哥和派蒙，没想到你们也很擅长斗虫！
旅行者: 没错，我一直是斗虫高手。
派蒙: 虽然以前大多是被放牛的拉着在斗虫啦…
漱玉: 这种游艺非常有趣！以后要是有机会去稻妻玩，我也想尝试一下原本的斗虫！
派蒙: 好啊好啊！我们两个在稻妻也有不少朋友，到时候，我们可以叫上大家一起快乐出游！
旅行者: 我们也没想到你是机关术高手…
派蒙: 对喔，你都能教别人机关术了，应该已经学会了不少硬本领！
漱玉: 还不至于啦，只是跟着师父打了一段时间的基础…
漱玉: 现在的师父不会隐居在山林里，也不打算让我过与世隔绝的生活。
漱玉: 所以师父教了我两派机关术，一派是仙家的，一派是普通人的。
漱玉: 师父说，要是以后，我想在璃月港里生活，掌握了普通机关术，就能谋一份很好的差事。
漱玉: 这也不耽误我继续学习仙家的机关术。
派蒙: 挺有道理的欸，没想到，那个女人考虑得这么周到！
旅行者: 漱玉想找个工作吗？
漱玉: 我…我还不知道。比起工作和赚钱什么的，我更想待在师父身边。
漱玉: 如果师父需要摩拉了，我就帮师父赚钱！
派蒙: 你的师父应该怎么都不会缺摩拉，她的小发明，随便一个放在璃月港都能卖出天价吧…
旅行者: 甚至比某位客卿还富裕。
派蒙: 那位是特例吧，不能用常理讨论！
旅行者: 漱玉想赚大钱吗？
旅行者: 下次再来斗个痛快！
漱玉: #旅行者哥哥要去忙别的事了？那就下次再见啦！
