# Talk Dialog

婕德: #…旅行者，是你啊，你从居尔城回来了？
婕德: 嗯…对了，你现在找我，是有什么事吗？呃，最近塔尼特的事情稍微有点多…
旅行者: 关于利露帕尔…
婕德: 嗯，我听说了，她离开了。回到那个被诅咒的地方去了。
婕德: 那个家伙，整天一副高高在上的态度惹人不爽，现在可算是安静了…让我松了口气。
婕德: 不过，她确实帮了我们很多…唔，你说，她在那里会找到什么呢？如果那里什么都没有的话…她也会像我们一样，感到孤独吗？
婕德: 唉…真可惜没能跟你一起去…
旅行者: 塔尼特的事？
婕德: 啊，不是什么大事，现在也没法跟你说…
婕德: 大、大概是旅团里的一些事吧，嗯，也许和那群北方人有关，具体的情况我也不是很清楚…
婕德: 不过…嗯…
婕德: 不过…！
婕德: 呃，对不起，我怎么一惊一乍的…我是说，之后假如我…
婕德: 不，假如、假如你遇到了危险，请你一定相信我！我永远站在你这边。
婕德: 假如遭遇危险的是我…我也相信，你一定会来帮我，对吧？
旅行者: 当然。
婕德: 嗯…谢谢。你要…小心坏人。
旅行者: 当然，不过别忘了付账。
婕德: 噗…少拿佣兵那套搪塞我了！
婕德: 不过…你要小心。
旅行者: 那就等你有空…
婕德: 嗯，等我稍微闲一点了，我们再聊…
婕德: 呃，对了…！对了…
婕德: 没什么…嗯，不管你遇到什么危险，我会站在你这边。所以…请小心。
