# Talk Dialog

神里绫华: 映影终于成功拍完了，我很高兴。这段时间…也承蒙你的关照。
旅行者: 绫华的演技很出色。
神里绫华: 欸？谢谢…
神里绫华: 一开始，我抱着不能拖大家后腿的心情努力，想着如果是因为我的原因喊「停」就太丢人了。
神里绫华: 芙宁娜导演既专业又耐心，夏沃蕾和埃兰小姐也给了我很多细节上的帮助…这才渐渐得心应手起来。
神里绫华: 虽然这么说，但到了最后，大家…包括你也在夸奖我，我心里还是会有些不好意思的…
旅行者: 最近玩得开心吗？
神里绫华: 嗯，空下来的时候，我和宵宫一起逛了枫丹廷很多地方。
神里绫华: 优雅的街景，美丽的绿植与花卉，还有像身处梦中一般的海底世界…留下了闪闪发光的回忆。
神里绫华: 一想到在不久之前，或许你也曾恰好走过这些地方…就有些开心。
旅行者: 绫华也辛苦了。
神里绫华: 哪里。我平时…不太容易得到这样出门的机会。
神里绫华: 这次不仅交到了新朋友，还跟着大家学到了不少东西，非常有收获。我很珍惜。
神里绫华: 啊，对了，我还给社奉行的大家带了晶螺糕作为伴手礼。
神里绫华: 配着咖啡喝，呵呵…说不定就和现在在枫丹的感觉一样呢。
旅行者: 回去路上慢点。
神里绫华: 嗯，谢谢你的关心，你在冒险途中也要照顾好自己哦。
神里绫华: 有机会的话…我们稻妻再见。
