# Talk Dialog

芭别尔: #是你啊，旅行者，从探险中回来了吗？
旅行者: 关于叛徒…
芭别尔: 你是在说阿德菲和阿萨里格吗…真是让你看到了塔尼特不堪的一面…
芭别尔: 他们和那些「北方人」接触得太久了，忘记了自己本来是塔尼特的子女，应该遵照部落的规矩成活。
芭别尔: 但好在我还有婕德…她没有辜负我的期望。
旅行者: 关于婕德…
芭别尔: 婕德吗？她是个好孩子。在部落学得很快，也很能吃苦…从没见她抱怨过。
芭别尔: 呵呵，说起来，塔尼特部族和她的父亲还有过一些小小的过节。真的是很遗憾…
芭别尔: 但我很高兴婕德回来了，虽然那孩子的父亲…唉，这也算是迟来的和解吧。
芭别尔: 那孩子也很喜欢你，我看得出来。
芭别尔: 所以…请不要辜负她的友谊。
旅行者: 关于居尔城与利露帕尔…
芭别尔: 「镇灵之母」已不再开口说话，选择了离去…是么。
芭别尔: 那还真是件…令人遗憾的事。不过「镇灵之母」回归了她的命运，或许对包括她在内的所有人来说，都是最好的结局。
芭别尔: 但镇灵的力量不会离契约所定的主人远去，那瓶子里一定还有她残留的力量与权能，我说的没错吧？
芭别尔: 呵呵，「镇灵之母」虽已远去，但契约仍在，希望你能够…好好保存它…在沙漠中好好保护自己。
旅行者: 再见。
芭别尔: 再见，客人，塔尼特永远欢迎你。
