# Talk Dialog

旅行者: 有什么想做的吗？
珐露珊: 唔…我正头疼住在沙漠的小朋友会喜欢些什么…零食还是玩具呢…
珐露珊: 有空吗？给我点建议？
旅行者: 前辈要去沙漠？
珐露珊: 嗯。有位同僚前阵子离开了教令院，回到了沙漠任教，最近我收到她的来信。
珐露珊: 她问我有没有兴趣去那边转一转，顺便给孩子们上几节识字课…
旅行者: 好事，可以招新学生！
珐露珊: 哈哈，你还替我记着这事呢？
珐露珊: 此行的目的，只是给他们科普一些简单和常用的字符知识。
珐露珊: 让他们能够更轻松地阅读，帮助自己挖掘更多感兴趣的东西…
珐露珊: 现在播撒的种子，也许会在未来生根发芽，长成参天大树。这就够了。
珐露珊: 至于他们以后有没有选择我的研究方向…那就得看他们的悟性了，对吧？
旅行者: 其实还是会期待的吧？
珐露珊: 哼，这就敢揣摩前辈心理了，胆子大起来了嘛？
珐露珊: 但前辈我今天不跟你计较，还有准备工作没做完呢。
珐露珊: 准备工作…啊！糟了！
旅行者: 怎么了？！
珐露珊: 突然想起前不久教令院针对「外出开课」出台了新规则，要填一大堆申请材料呢。
珐露珊: 啧…真麻烦。
珐露珊: 算了，不管了，等他们发现后我就说我记性差忘记了，反正他们也拿我没办法。
珐露珊: 还是干正事要紧，走吧，陪我买礼物去？零食和玩具…就全买上好了。
旅行者: 总不会那时候还没学生吧？
珐露珊: 哼，这就敢嘲笑前辈了，胆子大起来了嘛？
