# Talk Dialog

驹形: 来试试全新版本的「机关棋谭」吧！
旅行者: 游玩「机关棋谭」。
驹形: 「机关棋谭·巧策之局」一定不会让你失望的！
旅行者: 「机关棋谭」是什么?
驹形: 是一种来自璃月的桌上「游戏」，很有意思哦！
驹形: 「机关棋谭」的发明者是瑞锦小姐，她给了我「海外代理」的资格，让我在稻妻推广这款「游戏」。
驹形: 最初，瑞锦小姐的「海外代理」有好几个人。不过我似乎是其中经营最稳定的一位。
驹形: 我已经很久没有听到过其他「海外代理」的消息了，可能是赚不到多少钱的缘故，他们都放弃了吧。
驹形: 而且，我比较关注「机关棋谭」的玩法，以前还尝试独创过新玩法。
驹形: 虽然后来得知，我的设计与瑞锦小姐计划推出的新玩法不谋而合了，但这反而让瑞锦小姐更欣赏我了。
驹形: 总之，现在我会和瑞锦小姐保持书信来往，一起改进「机关棋谭」，不断为客人们推出新内容！
旅行者: 你真是个称职的代理人。
驹形: 感谢你的认可！
驹形: 以后要多多来玩哦。
旅行者: 关于容彩祭的大人物…
驹形: 你的消息好像比较灵通，没准你也见过那位大人物！
驹形: 事情是这样的…瑞锦小姐早早就向璃月的「飞云商会」拉过投资，可惜当时对方并不感兴趣。
驹形: 好在他们的二少爷眼光独到，商业头脑很棒，想要考察「机关棋谭」的投资价值。
驹形: 当时，瑞锦小姐还没准备好新的活动，短时间内不会在璃月开启「机关棋谭」。
驹形: 那位二少爷从瑞锦小姐那里听说，我会在容彩祭上推广「机关棋谭」，居然直接安排了行程，要来现场考察。
驹形: 啊呀，如果二少爷对「机关棋谭」感到满意，我们说不定能拿到一大笔钱作为发展资金呢…
旅行者: 他其实另有来意…
驹形: 我已经下定决心了，这次一定要好好表现，争取让「机关棋谭」一战成名。
驹形: 何况还有你这位出色的棋手在场，我们一定会成功的，没错吧！
旅行者: 祝…祝你好运…
