# Talk Dialog

影: …气浮兰芳，色涨桃花…原来如此，这就是「温泉」吗？
旅行者: 你是第一次来吗？
影: 嗯，天守阁旁虽设有「御温泉」，但那是柊弘嗣于五百年前引入至冬高炉后，才得以开始规划。
影: 待到落成之日，我已进入一心净土…而「将军」之身，自然没有泡温泉的需要。
旅行者: 柊弘嗣…
影: 过去的勘定奉行，也曾是真与狐斋宫的友人。虽是一介人类，但能在那时候活下来的，都非泛泛之辈。
旅行者: 那时候…发生过什么？
影: …何出此问？
旅行者: 看你刚才的表情…
影: ……
影: …难怪幕府中常有人说，温泉是最适宜谈话的场所，竟连我也松懈了一瞬。
影: …不错，在五百年前，「噩梦」也曾随漆黑的灾厄席卷稻妻。
影: 征战于漆黑战场的将士，被深黯的魔物侵染，陷入不醒的噩梦。尽管有食梦貘一族尽力救助，却也只能缓解。
旅行者: 但这应该不至于…
影: …是。当时的战况之激烈，奔赴战场之人十死无生。既已抱有赴死的觉悟，又怎么会害怕区区噩梦？
影: 但…如果陷入噩梦之人的实力过于强大，没有被完全剥夺行动能力，而是进入半梦半醒的「梦游」呢？
影: 如果身怀伟力之人，逐渐无法分辨现实与梦境。把现实中的一切都视为战争的延续…
影: 将现实中的所有喜乐都蒙上深黯，视作必须斩杀的仇敌。就会为自身与周遭…带来更深痛的「噩梦」。
旅行者: （…如果昨天我没能从噩梦里挣脱出来…也会变成那样吗？）
旅行者: 在以前…也出现过这样的人吗？
影: …是。
旅行者: 那在最后…
影: 我…向她斩出了「无想的一刀」。
旅行者: ……
影: 无需道歉。我从未后悔过当初的决定，不管是为了稻妻，还是为了她。
影: 如有必要…我会再斩一刀。
旅行者: 影…
影: …听了那么久，那边偷听的两位，还不打算出来吗？
梦见月瑞希 (？？？): …啊。
八重神子 (？？？): 呵。
旅行者: 原来是你们俩…
梦见月瑞希: …先说好哦，我不是主谋。
八重神子: 好啦好啦，反正都暴露了，不如就…
八重神子: ——来一场「温泉茶话会」吧？
梦见月瑞希: 喂——
八重神子: 呼…暖暖的真舒服，难怪有能让你开口的法力。
影: …所以，这究竟是谁的主意？说实话。
梦见月瑞希: 一半一半吧？
八重神子: 我向一位「心理诊疗师」咨询了一个问题：「怎么撬开一个老朋友的心房？」然后那位诊疗师告诉我…
八重神子: 「全新的环境、全新的体验，还有可以完全信任的人…可以让人暂时放下戒备。」现在看起来，效果不错嘛。
旅行者: 道理我是明白了…
梦见月瑞希: 你可以信任她没有歹意，但你会对她放下戒心吗？
旅行者: …你说得对。
八重神子: 呵呵…
影: …你们此番却是多虑了。之前闭口不谈，只是尚未确认这起风波与当年是否有联系，不想干扰搜证。
影: 若调查因此受阻，或是有新的线索指向当年的「噩梦」…我自然会找你们讨论这些情报。
八重神子: 「讨论情报」吗…看来你还是没明白，我们为什么希望你能开口谈谈这些旧事。
影: …嗯？
梨绘 (？？？): 救…救命啊！
旅行者: 什么声音——
旅行者: （所以影这么担忧的缘故…难道是…）
梦见月瑞希: 好像是店外面传来的？快去看看！
旅行者: 为什么你不自己上？
旅行者: …抱歉。
旅行者: 那个人的结局是…
旅行者: 让你这么心事重重。
旅行者: 跟「现在」有关系吗？
