# Talk Dialog

夏洛蒂: 海灯节简直太棒了！我今晚可能睡不着了！
旅行者: 关于「械动式垂直拉升装置」…
夏洛蒂: 哦，你问这个啊。
夏洛蒂: 这个装置的发明者，是一位叫伊尔德松斯的枫丹人。
夏洛蒂: 他天天鼓捣着一些冷门的机关发明，还好几次找到我们报社，想让我们报道他的发明。
夏洛蒂: 我找找他的原话，哦！
夏洛蒂: 「本装置采用纯机械动力驱动，不需使用任何额外能源」…
夏洛蒂: 就是手动上紧机关啦。这个装置能飞多高，取决于操作者的手能使出多大力气…
夏洛蒂: 能把它和风筝结合在一起，真是个神奇的好主意。
旅行者: 关于茶的报道与合作…
夏洛蒂: 和叶先生的交流很顺利，我的稿件已经寄回枫丹了。
夏洛蒂: 这是一篇兼具「真实」与「故事」的专访稿，连我自己都很满意。
夏洛蒂: 对了，还要感谢大家创造的这个机会！尤其是那位说话很有个性的闲云女士。
夏洛蒂: 多亏你们的人脉与创意，我才能得到这份意料之外的「特色礼物」。
旅行者: 关于海灯节…
夏洛蒂: 我还是第一次亲身体验其他国家的节日，感想是…非常激动！
夏洛蒂: 张灯结彩的节日氛围，「喜庆」所带给人的感染力，厚重、绵长而又诗意的传统与文化…
夏洛蒂: 哦对了，刻晴送我的风筝上，还亲笔题了一首她自己写的诗呢！
夏洛蒂: 「叠纸眺风倚亭槛，几方梦回递纸鸢。绝云登岭另有志，愿眺荻花在清滩。」
夏洛蒂: 我想把这首诗也记录进我的海灯节专题报道，一定会有很多人喜欢的！
旅行者: 下次再见哦，夏洛蒂。
夏洛蒂: 嗯！也祝你度过一个愉快的节日！
