# Talk Dialog

海妮耶: 看你们的神情，应该还有很多事想要问吧？
海妮耶: 不用见外，请随意一点。你们有恩于我，我会将我所知道的一切与你们分享。
旅行者: 关于领养蕈兽伙伴…
派蒙: #嗯，旅行者和我想问的一样。
派蒙: 之前我们不能带走「咚咚小圆帽」，是为了公平，防止大家觉得我们搞特殊对待，反对最后的决定。
派蒙: 现在距离上次大赛已经有一段时间了，如果我们不依靠「意智宝珠」也能和蕈兽伙伴沟通…
派蒙: 那我们能不能把「咚咚小圆帽」留在身边呢？
海妮耶: 这一点，我确实有考虑过。
海妮耶: 假如你们可以找到一片没有居民和其他动物的区域，理论上是没问题的。
海妮耶: 虽说我们的蕈兽伙伴都很乖巧，但要是被野林猪之类的生物挑衅，说不定也会生气。
旅行者: 我们有「尘歌壶」…
派蒙: 不过，壶中洞天还会有客人和动物吧？
派蒙: 要是蕈兽伙伴们和壶中洞天里的其他动物打起来了，阿圆也会很苦恼的…
派蒙: 还是先问问阿圆好了，说不定她会有什么好主意？
海妮耶: 我也在寻找新的保险措施，比如有着特殊孢子的路牌或围栏，能让蕈兽伙伴们自觉地待在一个区域里。
海妮耶: 这样或许就能把它们的活动区域和一般的动物划分开来，避免冲突。
海妮耶: 要是有了眉目，我会第一时间通知你们的。
旅行者: 好！我们一起努力！
派蒙: 谢谢你，海妮耶！
旅行者: 「壶中洞天」很宽敞。
旅行者: 关于「妙妙琼脂」…
海妮耶: 不用担心，「妙妙琼脂」是我托生论派学者努查赫小姐制作的，蕈兽伙伴们的口粮。
海妮耶: 琼脂里完全不含药物成分，只有蕈兽们所需的营养物质。
海妮耶: 有了「妙妙琼脂」，就可以避免蕈兽伙伴过度汲取土壤中的养分，防止破坏雨林的生态。
海妮耶: 另外，还可以根据蕈兽伙伴们的个性，加入它们各自钟爱的成分，让它们心情愉快。
派蒙: 还有这种事！那岂不是能搞清楚「咚咚小圆帽」喜欢的味道了？
旅行者: 派蒙要尝尝看吗？
派蒙: 才不呢，虽然「花花琼脂」和「妙妙琼脂」看起来都很美味啦，但我还不至于贪吃到抢蕈兽伙伴们的食物！
派蒙: 待会儿我们就去给「咚咚小圆帽」和「欢腾之火」喂一些「妙妙琼脂」吧？
旅行者: 吃了以后描述一下味道…
旅行者: 关于你的资金…
派蒙: #唔…旅行者和我担心的问题一样，海妮耶一直在照顾蕈兽伙伴，会不会出现摩拉不够用的情况啊？
海妮耶: 请别担心。
海妮耶: 在雨林里，我的食物可以通过渔猎获得，蕈兽伙伴们可以直接汲取土壤中的养分。
海妮耶: 除了我的衣物和日常用品，还有给蕈兽伙伴们制作「妙妙琼脂」所需的费用，基本没有日常开销。
海妮耶: 我以前为商队训练驮兽时攒下了不少积蓄，加上上次比赛拿到的奖金，支撑几十年都没问题。
派蒙: 好，好厉害！这就是专业的驯兽师吗！
旅行者: 如果有需要，请告诉我们。
海妮耶: 你们的心意我领会了，我承诺过，要照顾好蕈兽伙伴们，不出意外，我绝不会给你们添麻烦的。
派蒙: 呜…有一种特别安心的感觉，等到时机合适了，我们请海妮耶吃一顿大餐，好好改善一下伙食吧！
旅行者: 我们会全力支持你。
旅行者: 暂时不麻烦你了。
海妮耶: 别客气！我随时在这里等着你们，有空的时候就来看看吧。
