# Talk Dialog

钟离: 「碧水接天，繁花胜海」，说的就是荻花洲了。
旅行者: 在看风景吗？
钟离: 荻花洲伴水而生，蒲苇瑟瑟。登高望远，的确美不胜收。
钟离: 望舒客栈地处荻花洲中部，美景美食并收，往来旅客大多喜爱在此休憩。
钟离: 不过，望舒客栈可不只是旅店。
钟离: 客栈建在高处，视野极佳，便于监视四周。它所在的这条路，更是通往璃月的要道之一。
钟离: 镇守此地，至关重要。
旅行者: 怪不得魈常在这里。
钟离: 嗯。确实是他停留在此的原因之一。
钟离: 从这里向东南远眺，能望见孤云阁。
钟离: 孤云阁下封印着魔神，易生妖邪。有时，魈也会从荻花洲赶去那里。
钟离: 往来奔波很是不易，我此番来这，本想慰问他几句。没想到，他不在客栈楼顶…
旅行者: 他也是工作忙吧。
钟离: 无妨，以后有的是机会。
钟离: 说来，望舒客栈的大厨很会做菜。
钟离: 我记得，逐月节期间，璃月港内办过一场厨艺比赛。客栈里这位大厨是荻花洲赛区的代表人物，成功拿下了大赛亚军。
钟离: 好厨艺，值得人们不远千里赶来品尝。
钟离: 另外，提到登高…我想起了另一处地方。
钟离: 那个地方…许久之前曾被仙人征用，后又闲置下来，不知如今是否还有人打理…
钟离: 嗯，明天就去那里。
