# Talk Dialog

胡塞尼: 终于帮海迪夫解决了这次黑泥泛滥的问题…
旅行者: 你好。
胡塞尼: #…你好啊，旅行者，今天过得如何？
胡塞尼: 回想起来，算上这一次，每一次你都帮了我很大的忙
胡塞尼: 「导能圆盘」那次，在鹤观进行特殊遗迹重机观察的那次，还有这次在层岩巨渊。
胡塞尼: 每次都是些危急或者复杂的情况，但是正因为你出现，最后都能有一个好结果。
胡塞尼: 这么想，真不知道是你的运气好，还是每次都能遇到你的我运气好呀…
旅行者: 关于自传…
胡塞尼: 只是随口说说的，我现在离能够写自传的等级还远。
胡塞尼: 更何况，还有许多研究课题等着我去攻克，你想，要是我多攻克一个研究课题，自传就能多写上几页。
胡塞尼: 所以自传这个东西，肯定是越晚写越划算。
旅行者: 关于海迪夫…
胡塞尼: 你是想问为什么会接受海迪夫的委托，来层岩巨渊帮忙吗？
胡塞尼: 你知道「普尔比鲁尼」吗，海迪夫是「普尔比鲁尼」一门的学者。
胡塞尼: 在「教令院」的时候，我曾经接受过「普尔比鲁尼」一门很多的帮助，受他的委托前来，其实也算是一种报答。
胡塞尼: 算是正常的人情往来吧，单一领域的学者有的时候并没有办法解决所有的问题，所以需要不同的学者一起研究，
胡塞尼: 这也是一种构建学者之间关系的方式。
旅行者: 祝你顺利，再见！
胡塞尼: 谢谢你的祝福，再见！
胡塞尼: 希望真的能顺利一些吧…
