# Talk Dialog

旅行者: （继续听下去。）
许迪: 架子向女孩诚恳地讲述了自己的故事，他曾经装载过财富和荣耀，但失落和背叛也同时被他纳入其中。
许迪: 如今他一无所有，绝不能称得上是一个有价值的好架子。
许迪: 「亲爱的架子，你为什么为这件事烦恼？」女孩笑着说：「你总是履行自己的职责，妥妥当当地装着所有东西。」
许迪: 「那些东西丢了，坏了，变了，和你没有关系。你从始至终就是一个称职的好架子。」
许迪: 「妥善保管那些事物，正是你的价值所在。被你保管的事物，怎么能定义你的好坏？」
许迪: 「所以，现在请您再履行职责，帮帮忙，妥善保管这些书吧。」
许迪: 「我每天都会来整理它们，我们也可以每天讨论这个话题。」
旅行者: （继续听下去。）
许迪: 从那之后，王国里的架子们都听说，在一个图书馆中，有一个既聪明，又沉稳，无比可靠的架子。
许迪: 他从不会因为自己承载事物的价值而或喜或忧，只是诚实地保管着所有东西。
许迪: 那些新打造的架子们常常前去拜访，向他请问各种问题。
许迪: 而提到他时，那些新架子们总是会如此称呼——
许迪: 「喔！那位『好架子』！」
旅行者: （还是先不听了…）
