# Talk Dialog

丽莎: 赛诺小师弟，好久不见了。风花节期间能在蒙德见到你，实在是惊喜。
赛诺: 丽莎师姐应该早就听说我到蒙德了吧。
丽莎: 哎呀，瞒不过你呢。但我一点都不着急，我们早晚都会见面的。
赛诺: 是啊，就像老师说的，我们这些遵循同样意志的人总会在某处相遇。
丽莎: 居勒什老师说话总是那么诗意呢。单就这点而言，我继承他比较多，小师弟你呢…
丽莎: 嗯，还是比较像老师机灵古怪的一面。
赛诺: 师姐，我现在已经是大风纪官了，你这些描述不合适吧。而且我的冷笑话说得比老师好多了。
丽莎: 是吗？我听说你在蒙德就只是冒险家赛诺呢。
赛诺: …也有道理。
丽莎: 这个时节的蒙德，还不错吧？
赛诺: 嗯。很好的地方。这一次来，多少能体会到你退学回这里的原因了。
丽莎: 师姐我向来是很明智的哦。
赛诺: 老师如果能像师姐这么懂得变通，他的前半生应该会好过得多。顽固对自己没有好处。
丽莎: 老师卸任以后你都敢说他坏话了，可见他真的变了很多。
丽莎: 至于顽固…许多学者都容易顽固。我不希望那种氛围影响你，所以才希望你多来蒙德走走，体会「自由」。
丽莎: 我听说柯莱的事了。童年带来的影响还没完全消失，但我这次见到她了，她看起来比从前好得多。
丽莎: 你算她半个师长吧？嗯，你们俩还真有点像。赫曼努比斯之力也让你痛苦过。
赛诺: 过去的事都过去了。老师也没有像上级希望的那样，把我这个沙漠人当作祭司之力的试验品来看待。
赛诺: 而且，我能拥有如今的生活多亏了老师。他收养我，教我知识，指导我怎样融入须弥的生活…我很感激。
丽莎: 你很有天赋，天赋有时也会成为诅咒。但也是因为有了你这个学生兼养子，老师才能变得不那么顽固。
丽莎: 作为师姐，我很为你们高兴。…哎，真怀念这种一不小心就把天聊得很严肃的感觉啊。
赛诺: 师姐，严格来说你也是我们的一份子，相当于家中长姐。姐姐继承父亲的谈吐风格并不奇怪。
丽莎: 那你不应该叫我师姐，要叫我丽莎姐姐。
赛诺: …呃…这就不用了。
丽莎: 哈哈哈，怎么像小时候一样支支吾吾了？
