# Talk Dialog

派蒙: 「转转悠悠兽」和「百雷遮罗」，你们好呀！还记得我们吗？
派蒙: 它们都很开心的样子，一点都没有犹豫，太好了！
派蒙: 唔，我们要陪蕈兽伙伴们做些什么好呢？
旅行者: 投喂蕈兽伙伴？
派蒙: 好！让我们来看看两只蕈兽伙伴都喜欢什么口味的「妙妙琼脂」吧！
旅行者: 投喂树莓味的「妙妙琼脂」。
转转悠悠兽: ♩~
百雷遮罗: ♬~
派蒙: 嘿嘿，「转转悠悠兽」和「百雷遮罗」都很喜欢树莓的味道呢。
派蒙: 树莓非常好找，旅行途中，我们顺手就积攒了几千个甚至几万个，以后可以留一点给蕈兽伙伴们哦！
旅行者: 投喂堇瓜味的「妙妙琼脂」。
派蒙: 没想到还有堇瓜口味！海妮耶好厉害，居然把其他国家的食材也融入了「妙妙琼脂」！
转转悠悠兽: …
百雷遮罗: ♬~
派蒙: 「转转悠悠兽」好像不太能理解堇瓜的味道呢，说不定它也在思考，堇瓜是水果还是蔬菜！
派蒙: 「百雷遮罗」倒是很欢快，好像想起了开心的事！
旅行者: 投喂洋葱味的「妙妙琼脂」。
派蒙: ？
转转悠悠兽: ？
百雷遮罗: ？
派蒙: 怎么还有这种口味？海妮耶的想法还真奇特呢…
转转悠悠兽: …♩~
派蒙: 欸？「转转悠悠兽」好像反应过来了，它还挺喜欢洋葱味呢！
派蒙: 洋葱有什么特别的效果吗？我想想…
派蒙: 难道是…提神醒脑？
旅行者: 用不同的声音来交流？
派蒙: 要模仿动物的声音吗？可以哦，也想知道「转转悠悠兽」和「百雷遮罗」和其他动物的关系！
派蒙: 嗯，快来试试看吧！
旅行者: 咕咕…
转转悠悠兽: ？
百雷遮罗: ？
派蒙: 唔，须弥好像没什么鸽子哦，蕈兽伙伴们都不明白是什么意思。
派蒙: 要不然，还是模仿暝彩鸟吧？
派蒙: 喳喳喳，喳~喳喳，喳喳~喳！
派蒙: 噫…好像有点难！完全学不来暝彩鸟的节奏，蕈兽伙伴们会更疑惑的吧…
旅行者: 嗷呜！
派蒙: 咦？这个连我都听不出来啦！难道你在模仿长鬓虎吗？
派蒙: 会吓到蕈兽伙伴们的啦！
转转悠悠兽: ♪~
百雷遮罗: ♫~
派蒙: 等等，蕈兽伙伴们好像很有干劲的样子？
派蒙: 难道「转转悠悠兽」和「百雷遮罗」…以前和长鬓虎交过朋友，一起打过架？
派蒙: 有点想象不出那个画面呢，以后我们多观察一下野外的蕈兽吧！
旅行者: 呃~嘎嘎嘎！
派蒙: 你怎么在学深渊法师的声音！就算不太像，也会吓到蕈兽伙伴们的啦！
转转悠悠兽: ！
百雷遮罗: ！
派蒙: 呜！「转转悠悠兽」和「百雷遮罗」好像有点害怕！
派蒙: #没事的，没事的，旅行者在恶作剧啦，附近没有深渊法师哦。
派蒙: 不过，难道有的深渊法师会带着丘丘人欺负蕈兽吗？
派蒙: 可恶，这样一想就有点生气！如果以后在野外遇见了被欺负的蕈兽，我们可不能坐视不理！
旅行者: 待会儿再来和蕈兽伙伴们玩。
派蒙: 唔，确实还有些事没办完呢…那我们加把劲，争取尽快收工，多陪「转转悠悠兽」和「百雷遮罗」一会儿！
