# Talk Dialog

白术: 这些药物也配好了…等会就让阿桂送出去吧。
旅行者: 这一封祝柬送给你。
白术: 多谢你的祝柬，费心了。这几天身体感觉如何？
旅行者: 多亏白术妙手回春。
白术: 我只是施了些普通医法，谈不上妙手回春。
白术: 你身体本就强健，虽曾被死气缠身，却没有丝毫入侵心脉的征兆。
白术: 就连那大阵之力，也没有对你造成真正的影响，真是奇事…咳，咳咳…！
旅行者: 没事吧？快喝点水。
白术: 咳…咳咳…别担心，我只是为了写方子，熬了一夜而已。
白术 (长生): 哎呀，你这家伙也该休息几天了，至少让精神放松一下，不然也会影响到身体。
白术: 呵呵，不碍事，我心中有数。
白术: 倒是你，如果之后几天身体不适，就快些来找我，我好给你开些药调养。
白术: 病起微末，就算是丝毫征兆也不能掉以轻心，你可要千万记住。
白术 (长生): 你也关心一下自己吧，熬了这么一夜，不如也给自己开点药？
白术: 不碍事，我自己心里有数。
旅行者: 你不会又用了秘术吧？
旅行者: 感觉没什么问题！
白术: 那就好。医治「死气」之法不见于寻常药典，我也只是施了些普通医法。
旅行者: 再见。
白术: 慢走。回去后好好休息，大事已了，又是佳节时期，放松些，别太劳累了。
