# Talk Dialog

派蒙: 迪卢克老爷，你需要的炼金药剂大功告成啦，请试试！
迪卢克: 我以为还需要一段时间，看来进展很顺利，不错。
黑屏文本: 迪卢克接过了你们提供的样品，仔细打量一番后，按照规范少量试用，仔细感受炼金药剂带来的助益…
迪卢克: #嗯，效果比预想还要明显，{NICKNAME}的才能一如既往，令人惊喜。
迪卢克: 按照约定，晨曦酒庄将批量采购这种药剂。运输工作也不劳你们费心，埃泽会安排专员来取货的。
迪卢克: 工匠们会将这种药剂适量加入蜡烛和香氛。生产出的产品将作为酒的赠品，推荐客人们品酒时使用。
丽莎: 原来如此，要将炼金药剂融入品酒的环境…是个相当符合晨曦酒庄作风的商业策略呢。
旅行者: 好耶！新产品的研制大成功！
派蒙: 迪卢克老爷都点头了，一般的客人肯定会觉得超厉害！
迪卢克: 美酒和炼金香氛的组合究竟能取得怎样的商业成绩，还需要多方验证，我就先告辞了。
迪卢克: 这次合作十分愉快，预祝你们继续斩获大量订单，与晨曦酒庄长期共赢。
迪卢克: 空闲时，可以来「天使的馈赠」坐一坐，试试自己的杰作和饮品的搭配。
派蒙: 那是当然，我也很好奇！下次再见啦，迪卢克老爷！
旅行者: 噔噔！拿下晨曦酒庄的大单！
