# Talk Dialog

百日白白音: 那位客人，到这里登记！
柴葉紫: 什么日子啊，能来这么多人？早知道就限号…
派蒙: 哇，那个江村一玄斋的问题被解决后生意好了很多嘛，阿紫和白音恢复得也很不错！
梦见月瑞希: #早啊，旅行者，派蒙，来预约？
派蒙: 对啊，就约今天！
梦见月瑞希: 那我需要再给两位准备一份贵宾邀请函，毕竟两位都是本店的贵客。
派蒙: 好耶！这次我想先体验美食服务。
八重神子: 哎呀，前天刚给过撤股的建议，差点让你丢掉这么好的生意，你不会埋怨我吧，老朋友？
梦见月瑞希: 我根本没有考虑你的建议，何来埋怨呢？
八重神子: 就是这个语气，很亲切。
派蒙: 你又搞突然出现这一套…
八重神子: 早啊，两个小家伙，昨晚的夜色还好吗？
旅行者: 你偷看了？
八重神子: 偷看？那棵树就在鸣神大社下面，难道要我把鸣神大社搬走吗？
梦见月瑞希: 宫司大人来这里，所为何事？
八重神子: 嗯…就当是随便逛逛吧，顺便带来一个天领奉行的消息。
八重神子: 你的族人昨晚从水里捞上来的那个家伙已经脱离了生命危险，但心智似乎降低到了小孩子的水平。
梦见月瑞希: 这样也好…另外，我先向宫司大人道谢了，昨天的事情能顺利解决，多亏了宫司大人的帮助。
八重神子: 嗯？
旅行者: 不是我…
梦见月瑞希: 神子，我们两个之间藏不住心思的向来不是我。
梦见月瑞希: 要说面对你时的自卑和要强这两种情绪，我当然会有，或者说就是依靠这两种情绪我才有动力经营这份产业。
梦见月瑞希: 自卑让我时刻保持清醒，要强让我能坚持下去。这是已经被妥善处理的心理问题，不需要让你如此顾忌。
八重神子: 唉…还不如早点讲明呢，也不用让这小家伙两头跑了。
梦见月瑞希: #旅行者的行动还是很有意义的，毕竟要为宫司大人考虑一下。
梦见月瑞希: 那个「江村一玄斋」聚集了大批信徒，在他的底细被曝光之前，鸣神大社的宫司贸然介入进行打压的话…
梦见月瑞希: 一帮吵吵闹闹的信徒会对鸣神大社的名誉带来多少影响，很难估量，所以宫司大人明面上最好没有过问此事。
八重神子: 这一点我当然知道，但还是老朋友的心情更让我顾忌一些，否则也没必要搞那么多弯弯绕。
梦见月瑞希: 神子…
八重神子: 你还是那个有趣但不怎么可爱的家伙…看来担心你会有烦恼果然没什么必要。
梦见月瑞希: …我还是会有烦恼的。不过，每种烦恼都有各自对应的解药。
梦见月瑞希: 这是新的邀请函，请收好。
