# Talk Dialog

无名的石像: 金发的异邦人，你是真实存在的英雄，还是我梦中的另一个虚影？
无名的石像: 算了，那不重要。来吧，朋友，加入我的梦，因为美梦能驱退噬人的忧虑。哪位奴仆愿意去取酒，让我们尽情欢笑？
旅行者: 你是…
无名的石像: 我名为昆图斯·维努西亚努斯，曾是尊荣的乐师。
无名的石像: 但名字就像虚浮的名誉般，没有意义可言。它甜美胜过歌声，缥缈却如同云端。
无名的石像: 显贵与低贱之人，每一个名字都在「福波斯」的歌声中浮沉。譬如我，获释奴仆的后代，在歌声中获得一切，在歌声中失去一切。
无名的石像: 如今帝国早已不复，希望早已沉沦。正如这昔日繁荣的大港，我的名声也早已在厄运中寂灭，没入玻璃般的海洋。
无名的石像: 生命过于短促，不可有遥远的憧憬。唯一应当憧憬的只有当下的梦，除此之外，一切辛劳都只会在梦上加梦。
旅行者: 关于这个地方…
无名的石像: 这里曾是安提库港，异邦人，现实与梦境的交汇之处。显荣的法图纳号曾经停泊在此地，彰显帝国至高无上的威权。
无名的石像: 如你所见，桅杆早已折断，神像荡然无存。身世的追溯却是无益，黄金的彩妆也不能为亡魂带去丝毫宽慰。
无名的石像: 但那无关紧要。既然海风尚未夺去我们最后的时日，何妨继续徘徊梦中，招呼奴仆，带来美酒、香膏和花期太过短暂的蔷薇？
旅行者: 你好像并不难过？
无名的石像: 为何难过？苍白的死神同等叩撞穷人的柴扉与贵人的大门，一切都是「福波斯」之意。
无名的石像: 怎样的日子将时运给了你，就怎样享受。不要鄙薄甜美的爱，也不要拒绝欢愉的舞。
无名的石像: 既然阴郁的霜痕尚未侵凌你辉荣的金发，就应当在约定之刻，沉入温柔絮语的梦乡。
旅行者: 再见。
无名的石像: 再会了，朋友！愿你得以见证同样的美梦！
无名的石像: 再见。
无名的石像: 再会了，朋友！愿你得以见证同样的美梦！
